Ticker,Price,Change %,Debt/Eq,ROE %,Rel Volume,"Avg Volume, M",RSI,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
XYZ,46.53,-20.43,0.37,14.5,5.89,9.19,32.27,7.930367504835589,-2.704319377215934,-8.65551180341697,9.23009473155492,3.297779207667612,5.4921819387657385,0.1,0.05128965058412094,0.24713384231766738
BDX,168.78,-0.45,0.74,6.92,4.4,2.39,21.41,4.550302168503377,-3.995778975148302,-0.9706700605059586,6.4441673961317205,0.5344685495532164,2.9736437867500136,0.1,0.08938874019007524,0.13380620359942794
HOLX,54.16,-5.45,0.53,15.78,2.78,2.82,29.69,3.305022156573117,-3.011130220923624,-2.8938036298030085,3.4151725750675674,-0.48358737153075954,2.7981200999209106,0.1,0.12306900197862135,0.12590809613913728
MGA,33.06,-5.57,0.61,8.62,2.12,2.16,44.1,3.8112522686025407,-1.297508415564008,-2.9399588354661375,2.181137647967358,-0.06972819283591834,1.9263138867376144,0.1,0.10672234469428718,0.08667909360015325
OHI,37.02,-3.99,1.08,10.02,2.03,2.42,43.24,2.5661804430037813,-1.3997786967999046,-2.3322486275682697,2.012860157908238,-1.0876139149883748,1.817542986609346,0.1,0.15850240751214587,0.08178468719105107
UNH,399.92,-0.19,0.88,15.88,1.81,6.3,25.67,4.808461692338468,-3.4891843262356055,-0.870667114902512,1.6015151822081684,0.7455221513990741,1.7716988257000672,0.1,0.08458958485096599,0.07972181968963586
AGI,24.72,-3.93,0.08,8.74,1.4,3.78,37.14,5.744336569579287,-2.1251841799847524,-2.309171024736705,0.8349177274944012,1.5106295577982978,1.5679449113715604,0.1,0.07080813831151857,0.07055342572587273
PAA,16.63,-0.48,0.82,7.56,1.62,3.82,35.6,3.788334335538184,-2.308319334756009,-0.9822088619217408,1.2462627031944715,-0.0884643302762108,1.4097838425037277,0.1,0.10736797291385333,0.0634365907247437
AAPL,205.35,-3.74,1.45,136.52,1.7,58.75,48.05,4.105186267348429,-0.8277786354689022,-2.2360919491034172,1.3958426943581332,0.17057217733327734,1.3344660257386107,0.1,0.09908095561018343,0.06004748569150358
EOG,110.86,-0.73,0.2,22.29,1.66,3.85,43.57,3.7254194479523726,-1.3605354493489212,-1.0783655403865933,1.321052698776302,-0.13989924709607168,1.1318158108722978,0.1,0.10918120335422814,0.05092875532080729
