Ticker,ATR/Price %,ROE %,RSI,Debt/Eq,Change %,Rel Volume,"Avg Volume, M",Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
GME,8.35591689250226,6.62,29.94,0.35,-22.45,13.55,12.56,22.14,-2.661695346710714,-12.01497612459181,15.575995973381943,5.576382945304044,7.694395915101866,0.1,0.03454299233391449,0.39992658006104514
BF-B,4.06742396482228,23.14,23.24,0.68,-0.76,2.36,3.51,27.29,-3.310371965462355,-0.514321572853224,1.8874236784800935,1.3346321213757573,1.5826642619688953,0.1,0.0709634342662245,0.08226110440090068
CPRT,2.4004800960192036,18.54,23.29,0.01,-1.01,1.14,5.83,49.99,-3.305531095173164,-0.646878679258694,0.395014545345129,-0.3141430190237033,1.493760632022546,0.1,0.120241935619125,0.07764021861964367
ROST,2.8845433430733496,39.57,34.97,0.9,-2.14,1.78,3.44,133.47,-2.174703795618064,-1.246036800211419,1.1779176971536351,0.16464421734376375,1.4163783262366698,0.1,0.10006380172918498,0.07361816916291594
LULU,4.991296603651378,42.49,28.95,0.4,-2.08,1.46,2.81,247.03,-2.7575445784367028,-1.2142230946741062,0.7864661212493821,2.2484350803742625,1.3225684018012331,0.1,0.057828335216420314,0.06874227212444745
IPG,2.6226734348561758,13.33,44.93,1.17,-0.51,3.56,6.89,23.64,-1.2104024340111468,-0.38176446644775386,3.3553670881210427,-0.09437145964911947,1.2377689787497355,0.1,0.11005501841153192,0.06433470801852813
ISRG,2.7348927875243665,15.94,35.12,0.0,-1.8,1.13,2.1,513.0,-2.16018118475049,-1.0657591354999796,0.38278168359812104,0.016624766686855946,1.203972972138603,0.1,0.1055391913266949,0.06257811510430301
TAP,2.0768633540372674,7.9,29.09,0.49,-0.46,0.71,2.56,51.52,-2.743990141626967,-0.3552530451666599,-0.130998509776211,-0.6342325248449195,1.121958665907019,0.1,0.13897802789935151,0.05831531119231554
BSX,2.008928571428571,9.65,33.83,0.53,-0.85,1.01,8.08,98.56,-2.285075638211627,-0.5620421311591932,0.2359873426340263,-0.7014268574375859,1.113831373550351,0.1,0.14367776797324266,0.05789288423726646
BRO,2.4438202247191008,16.18,39.37,0.59,2.22,4.03,2.1,106.8,-1.7487072101692254,1.0657591354999796,3.9303115902304144,-0.2712752727729474,1.0522216714576138,0.1,0.1181094952243097,0.054690637078634
