Ticker,Strategy_Score,Lookback_Return_Ann,Lookback_ATRP
CCI,0.09339706,0.55749181,0.02102559
CCJ,-0.01339189,-0.14650129,0.03950639
CCK,0.23992253,1.35470445,0.02043874
CCL,0.09945348,0.87461711,0.03500299
CDNS,0.10247063,0.69826052,0.02671126
CDW,0.37470796,2.66430181,0.02409297
CEG,0.37991856,7.62367796,0.04727167
CELH,0.01155982,0.16189945,0.05785204
CF,0.45276001,3.18499272,0.02220607
CFG,0.27912225,2.23545358,0.02558362
CFLT,-0.13217707,-1.33519459,0.04253251
CG,0.27125769,2.21567600,0.02977367
CHD,0.13216768,0.66716462,0.01781624
CHKP,0.07481777,0.45747022,0.02264265
CHRW,0.03636369,0.20997612,0.02309473
CHTR,0.02970781,0.19552682,0.02856255
CHWY,0.23904899,2.33003305,0.03992580
CI,0.16539922,0.87045235,0.02624509
CIEN,0.06153382,0.48692358,0.03400185
CINF,-0.04392909,-0.28361477,0.02103974
CL,-0.13566314,-0.50761993,0.01567534
CLF,0.15603240,1.95538429,0.05097222
CLS,0.38606385,5.06280545,0.04337249
CLX,-0.05070225,-0.21720645,0.01650136
CMA,0.25653104,1.89076489,0.02740112
CMCSA,-0.07969078,-0.35118654,0.02074776
CME,0.00482041,0.02064298,0.01515814
CMG,-0.17779417,-0.99425956,0.02189526
CMI,0.28649104,1.33709802,0.01779699
CMS,0.13212255,0.59971269,0.01571308
CNC,0.10207318,0.74246910,0.02748493
CNH,0.35583733,2.58523194,0.02737976
CNI,-0.01702726,-0.06729080,0.01654318
CNM,0.24696134,1.88163992,0.03059457
CNP,0.15145043,0.86271836,0.02033531
CNQ,-0.02409707,-0.15911141,0.02419982
COF,0.25212688,1.72282574,0.02299716
COHR,-0.03045253,-0.42036792,0.05238024
COIN,0.22848388,3.79076042,0.07173181
COO,0.12480426,0.74180121,0.02222228
COP,0.29099663,1.42636217,0.02022812
COR,0.39396129,1.89250033,0.01690373
COST,0.20016002,0.92299648,0.01864122
COWZ,0.26392078,0.81144527,0.01290159
CP,0.08361658,0.41131805,0.01868978
CPAY,0.38974120,2.22369942,0.02038929
CPB,-0.31248223,-1.85085762,0.02114662
CPNG,-0.02909752,-0.21291788,0.02902051
CPRT,0.06086922,0.26926866,0.01886306
CPT,-0.06917573,-0.42119970,0.02135185
CRBG,0.19899012,1.34033671,0.02432582
CRH,0.28884750,1.35971057,0.01795242
CRL,-0.25873703,-2.68211652,0.03320410
CRM,-0.06614636,-0.44799873,0.02690055
CRWD,0.07868699,0.75846547,0.03727632
CSCO,0.18170859,0.65302261,0.01458394
CSGP,0.15097923,1.10389972,0.02940339
CSL,0.32816549,2.23338595,0.02472841
CSX,0.10820300,0.45303324,0.01765081
CTAS,0.39711410,2.17711409,0.02330278
CTRA,0.47932416,3.06300359,0.02317852
CTSH,0.09389869,0.46553859,0.01997836
CTVA,0.43539692,2.58350080,0.02242381
CVE,-0.05473192,-0.39185922,0.02688044
CVNA,0.20938011,4.08708598,0.06206902
CVS,0.51250295,4.48930094,0.03416025
CVX,0.49598083,2.43209263,0.01771262
CYBR,0.17132001,1.23708055,0.02939937
CYTK,-0.15822141,-1.64680629,0.03751843
D,0.08511738,0.42703517,0.01787536
DAL,0.28327028,2.84910408,0.03245060
DASH,0.09075685,0.59815156,0.02578818
DAY,-0.08802730,-0.60692104,0.02708977
DBX,0.19410534,0.87685397,0.02240227
DD,0.13068696,0.69458786,0.01834502
DDOG,-0.12269532,-0.89883170,0.03200507
DE,0.33675113,2.21434460,0.02141765
DECK,0.08987724,0.67257639,0.02704456
DELL,-0.15099045,-1.45151099,0.03741082
DEO,-0.22049169,-1.42172715,0.02056205
DG,-0.25013765,-2.28018488,0.03300471
DGRO,0.22048707,0.60583278,0.01046924
DGX,0.03850996,0.17510891,0.01718298
DHI,0.26478764,1.80583126,0.02669498
DHR,0.14492631,0.94401550,0.01962253
DIA,0.21785545,0.66038633,0.01164806
DINO,0.11880219,0.88344411,0.02943221
DIS,-0.18589684,-0.87120908,0.01828654
DKNG,0.19277816,2.05745661,0.03845435
DKS,0.01996333,0.15679610,0.03217807
DLR,0.03825805,0.25113884,0.02167776
DLTR,-0.11842577,-1.40531758,0.03911172
DOC,0.14494585,0.79952916,0.02188852
DOCU,-0.02102732,-0.18537601,0.03758689
DOV,0.27409931,1.26814673,0.01714629
DOW,0.19256049,0.95294741,0.02251722
DPZ,-0.05505432,-0.39401305,0.02496405
DRI,-0.09980056,-0.44704318,0.02453650
DT,-0.24071551,-1.42215002,0.02490775
DTE,0.12218245,0.54923333,0.01653168
DUK,0.08274635,0.35338871,0.01538822
DUOL,0.15773519,2.01407388,0.04323333
DVA,0.46562480,2.65156245,0.02368573
DVN,0.40718829,3.26402586,0.02709771
DXCM,0.17644832,1.89892116,0.03271980
DXJ,-0.18596045,-0.58709777,0.01202030
EA,-0.15468384,-0.67345339,0.01837199
EBAY,0.18901766,1.70446432,0.02864245
ECL,0.16173403,0.71363429,0.01709553
ED,0.30972326,1.29085727,0.01603790
EDU,-0.02848692,-0.23887360,0.03362930
EEM,0.06999857,0.20930907,0.01070001
EFA,0.17613822,0.48098879,0.00993172
EFV,0.17570137,0.48000325,0.00992903
EFX,0.20000012,1.19447477,0.02494801
EG,-0.00744965,-0.04332422,0.02005346
EIX,-0.32440369,-5.44054001,0.03428551
EL,0.13998668,1.33941592,0.03336065
ELS,-0.00659838,-0.03820239,0.02018933
ELV,0.19524598,1.33941051,0.02380574
EMB,0.11110910,0.14584851,0.00538466
EME,0.32068767,2.63997065,0.02728757
EMN,0.21419831,1.32436402,0.02270721
EMR,0.08791996,0.49899723,0.02138819
EMXC,0.09797347,0.29508110,0.01068004
ENB,0.21918619,0.89288054,0.01388870
ENTG,0.24972114,2.31429177,0.03707199
EOG,0.46148396,2.49087942,0.01955555
EPAM,-0.00062816,-0.00343949,0.02632371
EPD,0.31278365,1.42178052,0.01649904
EQH,0.32272147,2.08730374,0.02377302
EQIX,-0.11415079,-0.72116569,0.02090106
EQNR,0.06299356,0.40126245,0.02311621
EQR,-0.01160909,-0.06920345,0.02104705
EQT,0.37731030,2.86336355,0.02723918
ERIC,0.25590776,1.47734486,0.01756393
ES,0.05051162,0.25369812,0.01951510
ESGU,0.17392301,0.59723528,0.01237168
ESS,0.06272099,0.39660426,0.02217884
ESTC,0.05022782,0.35567344,0.03327299
ET,0.14274612,0.74538463,0.02089276
ETN,0.18130406,1.08613875,0.02211558
ETR,0.36617431,2.13975738,0.01944286
EVR,0.08751880,0.63437167,0.02944437
EVRG,0.15959852,0.63273841,0.01434572
EW,-0.15931509,-0.97370994,0.02381943
EWJ,-0.10348634,-0.30004311,0.01144049
EWT,0.07774536,0.37266375,0.01660062
EWY,0.41796690,1.80106318,0.01778233
EWZ,0.18585177,0.94732363,0.02175117
EXAS,-0.16066541,-2.26353839,0.04303998
EXC,0.21991011,1.18104211,0.01721202
EXE,0.19512177,1.27057959,0.02256231
EXP,0.20630484,1.31553849,0.02688620
EXPD,0.01810485,0.09769565,0.01877070
EXPE,0.04828181,0.27754984,0.02396835
EXR,0.09509618,0.48983653,0.02244906
EZU,0.34307478,1.17974917,0.01173550
F,0.21671056,1.36802933,0.02587787
FANG,0.32761145,1.97149845,0.02458388
FAST,0.31259714,1.71940373,0.01853893
FBTC,0.17781504,2.00136575,0.04306597
FCNCA,0.15726852,1.04142915,0.02510509
FCX,0.21661450,1.63187798,0.02841956
FDS,-0.15279646,-0.71386764,0.02060415
FDX,0.01866686,0.08355018,0.02309956
FE,0.00221408,0.00929999,0.01414676
FERG,0.11375336,0.61883878,0.02478156
FFIV,0.24759416,1.21033907,0.01819784
FHN,0.24964979,1.92901725,0.02517312
FICO,-0.14375486,-1.16401765,0.02672916
FIS,-0.08604572,-0.39645162,0.01825748
FISV,0.07934474,0.33474190,0.01777577
FITB,0.20582981,1.31213470,0.02193094
FIVE,-0.13548331,-2.11570723,0.05270559
FIX,0.41693228,4.21172611,0.03338254
FLEX,0.29284383,2.60286727,0.02996674
FLR,0.08307365,0.61171547,0.03052322
FLUT,0.11712297,0.84416113,0.02497934
FMX,-0.08358343,-0.53931596,0.02467221
FN,0.25025745,2.42515794,0.04264240
FND,0.06750113,0.60716680,0.03648961
FNV,0.16198356,0.98713024,0.02262298
FOXA,-0.10768456,-0.50561164,0.01904432
FSLR,0.08916205,0.91025701,0.04169523
FTAI,-0.15737225,-5.16473913,0.06831256
FTI,0.32199842,2.49827886,0.02764247
FTNT,-0.01612780,-0.11449206,0.02787700
FTV,0.35022204,1.49718589,0.01725287
FUTU,0.22653310,2.58141175,0.04872272
FWONK,-0.04129640,-0.23115074,0.02410446
FXI,0.10190704,0.46655526,0.01857095
GAP,0.00637286,0.06074919,0.03641813
GBTC,0.17439939,1.95987607,0.04304523
GD,0.16730476,0.68769664,0.01806450
GDDY,0.04578958,0.27178496,0.02288089
GDX,0.15738810,1.01245358,0.02443923
GDXJ,0.09561915,0.69415821,0.02778060
GE,0.39032783,2.07221602,0.02178454
GEHC,0.30567918,2.01896655,0.02147349
GEN,0.01116239,0.04756292,0.02035892
GEV,0.37236909,4.35119458,0.03874795
GILD,-0.00006433,-0.00027983,0.01940746
GIS,-0.24806846,-1.31148027,0.01986287
GL,0.25720740,1.39781105,0.02363757
GLD,0.16779016,0.39821351,0.00987335
GLDM,0.15515897,0.41011169,0.01018977
GLW,0.32311149,1.66447196,0.01926004
GM,-0.01839331,-0.14860074,0.03037203
GME,-0.16180067,-2.53092610,0.06339079
GNRC,0.10511585,0.68131257,0.02781368
GOOG,0.14942923,0.92925233,0.02475962
GOOGL,0.14103545,0.89083184,0.02494109
GOVT,-0.00701264,-0.01003720,0.00584399
GPC,0.10577777,0.53538865,0.02100666
GPN,-0.12881461,-0.75563343,0.02223977
GRAB,-0.11825834,-1.25623989,0.04108282
GRMN,0.29672300,1.34897599,0.01819484
GS,0.32913562,2.21191048,0.02215138
GSK,-0.07397191,-0.36009129,0.01721468
GTLB,0.24791252,2.98409014,0.04672409
GTLS,0.29156122,3.15143784,0.03823684
GWRE,0.26213963,1.33852327,0.02415398
GWW,0.31151520,1.69880733,0.01841521
H,-0.00801269,-0.04250216,0.02456251
HAL,0.26065170,1.93737026,0.02755254
HAS,0.07008431,0.41796188,0.02402904
HBAN,0.18660200,1.19890732,0.02294622
HCA,0.16205634,1.08735901,0.02388147
HD,0.27958858,1.34149907,0.01843106
HDB,-0.52542159,-2.30257925,0.01597832
HEI,0.00545880,0.03428087,0.02534674
HIG,0.13709196,0.68169710,0.01899380
HII,0.35772020,1.94741852,0.02505853
HIMS,0.13991506,2.69178516,0.08654622
HLT,0.03849398,0.16282406,0.01740367
HOLX,-0.11548483,-0.69045042,0.02185736
HON,-0.06001592,-0.32020592,0.01964628
HOOD,0.34165767,5.27114016,0.05784106
HPE,0.22270315,1.95200229,0.03140396
HPQ,0.00916823,0.05071504,0.02528336
HRL,-0.19115212,-1.03843000,0.01983805
HSIC,0.26885570,1.69544420,0.02660941
HST,-0.03421611,-0.19536174,0.02468059
HSY,-0.38840037,-2.46795276,0.02956927
HUBB,0.15851012,1.06096649,0.02435872
HUBS,0.04206882,0.26455507,0.02774631
HUM,0.30245395,2.91749319,0.03516110
HWM,0.42771750,3.15772226,0.02390775
HYG,0.20656690,0.19897162,0.00386514
IAU,0.17028577,0.40464113,0.00983417
IBB,-0.00824614,-0.03571271,0.01735728
IBIT,0.16921758,1.98978929,0.04387126
IBKR,0.13594477,1.06256714,0.02641436
IBM,0.11339917,0.56094423,0.01950113
IBN,-0.37730175,-1.40463065,0.01451283
ICE,-0.00333835,-0.01400415,0.01564247
ICLR,-0.16923882,-1.66732063,0.03345125
IDXX,0.08536751,0.67864512,0.02623498
IEF,-0.00881968,-0.01109194,0.00501586
IEFA,0.16106827,0.44534672,0.00996702
IEI,0.00713611,0.00530587,0.00286783
IEMG,0.04566520,0.13140502,0.01039596
IEX,0.22974084,1.24856647,0.01973827
IFF,0.12586959,0.55098365,0.01850877
IGIB,-0.01148684,-0.01262826,0.00446276
IGSB,0.06305177,0.03438987,0.00239787
IGV,0.02466634,0.12687041,0.02123288
IJH,0.26834763,1.02394772,0.01465516
IJR,0.15347270,0.66730253,0.01787233
ILMN,0.10030638,1.18649052,0.03607406
INCY,0.12259277,0.89874237,0.02821219
INDA,-0.39535305,-1.05872525,0.00917821
INFY,-0.28335059,-1.59209897,0.01955911
INSM,0.08736028,1.00137706,0.03805448
INTC,0.17538822,1.68257730,0.03738794
INTU,-0.12020643,-0.70091069,0.02419128
INVH,-0.01100585,-0.06080688,0.01976615
IOT,0.17572914,1.69107755,0.04070992
IP,0.34695937,1.74902720,0.01955460
IPG,-0.04947769,-0.24600063,0.02424074
IQV,0.04659106,0.31147589,0.02586026
IR,0.06857492,0.40722792,0.02237487
IREN,0.16415968,3.78321163,0.10080313
IRM,0.15455692,1.11024860,0.02732677
ISRG,0.43269598,3.19625814,0.02215087
IT,0.39784951,1.64892825,0.01780383
ITOT,0.17372736,0.61207163,0.01277339
ITUB,0.26571314,1.88359998,0.02740545
ITW,0.15514141,0.64415022,0.01621299
IUSB,0.00115111,0.00131185,0.00500882
IVE,0.19494912,0.54932750,0.01077152
IVV,0.16012075,0.55576957,0.01244508
IVW,0.12887616,0.59087345,0.01628947
IWB,0.17914349,0.61936634,0.01249639
