LBRDA
LBRDK
AXTA
URBN
CRK
FSS
EXP
OLLI
EXLS
STWD
ORA
IDA
BETA
MHK
BTSG
MKTX
BYD
ZK
FND
PRAX
SNOW
EMR
INFY
FCX
MNST
ECL
EQIX
RELX
JCI
DB
CI
TDG
ITW
MRVL
WMB
CMI
WBD
NSC
NET
NWG
ETR
CTSH
CCEP
PAYX
LNG
CCJ
CCL
HEI
HEI-A
XYZ
PEG
PUK
KR
JD
PRU
ALC
GRMN
TRGP
OXY
A
