Ticker,Debt/Eq,ATR/Price %,Price,Rel Volume,RSI,"Avg Volume, M",Change %,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
WDAY,0.41,3.0822072581009623,221.27,2.95,42.66,2.79,-2.77,6.66,-1.3944758820527086,-2.299484988510003,4.224156470779992,0.37275077269774565,2.1004425215831724,0.1,0.07312977788665764,0.15653732663500572
WMT,0.72,1.9312196633274812,96.83,2.04,40.61,16.02,-1.15,24.46,-1.6003286218624369,-1.5593584255313895,2.280348409877554,-0.7363902520934482,1.6355991737726947,0.1,0.1167143937407941,0.1218944672267546
IBN,0.65,1.1002444987775062,32.72,1.37,42.92,4.15,-1.83,17.47,-1.3683677296865961,-1.8700288346829064,0.8491930243779574,-1.5371535702822756,1.4569927594331449,0.1,0.20486458458643797,0.10858366708188608
CART,0.01,4.2425639843209595,43.37,1.15,38.09,4.2,-2.58,14.54,-1.8533768678724443,-2.2126800212470794,0.37926140525868646,1.4909202944954927,1.3498801627940213,0.1,0.05312851686352207,0.10060100659271251
COST,0.31,1.6639889832453525,958.54,1.47,44.99,2.12,-1.15,32.08,-1.1605066704640896,-1.5593584255313895,1.0627983057958075,-0.9939051998720747,1.2639029647447866,0.1,0.13545830799069206,0.09419348027580506
HWM,0.68,2.824561403508772,171.0,0.95,37.88,3.14,-1.3,29.98,-1.8744642217066116,-1.6278886628442242,-0.047949157577014005,0.12447217395939447,1.2037864606814503,0.1,0.07980040083588413,0.08971324492729185
APO,0.63,3.2041728763040243,134.2,1.18,35.06,2.9,0.14,18.82,-2.157637258908287,-0.969998384641012,0.44334298968404157,0.4902820748397628,1.1343128656950865,0.1,0.0703461207890771,0.0845356641465088
CME,0.14,1.8032056990204812,269.52,0.69,40.03,2.3,-1.39,13.62,-1.658569884832994,-1.669006805231925,-0.6033228892634247,-0.8597500000210465,1.1299622636721411,0.1,0.12500023281204553,0.08421143170361796
PAA,0.91,2.0431328036322363,17.62,1.24,39.62,2.92,0.17,8.34,-1.6997404327949401,-0.9562923371784451,0.5715061585347518,-0.6285459489151455,1.1067672960891495,0.1,0.11032133191971384,0.0824828063403824
JHX,1.16,7.215992198927351,20.51,2.78,30.14,7.77,3.69,15.8,-2.651683834451636,0.6518838984294065,3.8610274923696455,4.356243285001427,1.0365111475815667,0.1,0.031236332575175607,0.07724690507003504
