Ticker,Change %,RSI,Price,ATR/Price %,Rel Volume,"Avg Volume, M",ROE %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
AMAT,-14.07,29.93,161.76,3.9626607319485663,4.56,6.95,35.64,0.32,-2.0686764012940158,-6.6024911507609785,7.389813112658133,1.1386630290243362,4.399004962848441,0.1,0.06237811599362001,0.31145041231920007
LRCX,-7.33,50.03,99.51,3.356446588282584,2.22,10.42,58.24,0.48,-0.2275858312330472,-3.452769335870684,2.583580313246789,0.5520096188578125,1.7496394092498824,0.1,0.0736443450772529,0.12387481260488223
CSCO,-4.47,40.42,66.2,2.326283987915408,1.97,20.74,22.58,0.6,-1.1078286361228933,-2.116240494537413,2.0700939030532686,-0.4449126879638629,1.5869342451381472,0.1,0.10625672190709302,0.11235525514199401
ATI,-2.11,28.49,72.46,3.933204526635385,0.97,2.0,26.95,1.08,-2.2005754272088316,-1.0133705415491203,0.016148262279189498,1.1101572881436608,1.0170950127067548,0.1,0.06284527262870333,0.07201052595998962
HWM,-2.69,36.25,171.25,3.170802919708029,1.04,3.14,29.98,0.68,-1.4897862320012139,-1.284414852029294,0.15992445713337516,0.372356121190338,0.9657196587183188,0.1,0.07795606256210075,0.0683731408427011
ED,-2.03,40.01,100.77,1.7068571995633621,1.23,2.53,8.54,1.14,-1.1453832198903064,-0.9759851194139239,0.55017412888045,-1.0443524099368438,0.9569489855262551,0.1,0.144817803647595,0.06775217546415413
EMR,-1.95,36.36,131.75,2.4516129032258065,1.04,3.2,10.86,0.75,-1.4797106119660544,-0.9385996972787276,0.15992445713337516,-0.3236277652553816,0.9107562761878869,0.1,0.10082477150271546,0.06448172260240967
HRL,0.64,43.04,28.48,1.7205056179775282,2.34,3.24,9.39,0.36,-0.8678456861945484,0.27175334434825504,2.8300537901396776,-1.031144385528786,0.8777575162270168,0.1,0.14366899369466593,0.062145403938840715
USFD,-1.02,34.94,76.35,2.423051735428946,1.1,2.26,11.48,1.08,-1.6097777069653867,-0.5039941649570697,0.28316119557982,-0.3512673488273524,0.831579129171559,0.1,0.10201322042225923,0.05887596509752939
NWSA,-1.11,53.26,29.47,1.9681031557516118,2.38,3.25,5.69,0.34,0.06827101161754598,-0.5460527648591658,2.912211615770641,-0.7915360863795762,0.8288195454266527,0.1,0.1255946925639944,0.058680586028299175
