Ticker,Debt/Eq,RSI,ATR/Price %,"Avg Volume, M",Change %,Price,Rel Volume,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CPNG,1.04,18.84,3.751617076326003,10.9,-4.69,23.19,2.67,8.73,-2.7379552629595625,-2.3435499460666622,2.9776219510122184,0.4735865574793497,2.326692557613687,0.1,0.0856562208992686,0.14651472197190565
PSX,0.81,38.88,3.020185157079982,2.45,-6.88,131.78,2.01,5.38,-1.060221644794106,-3.6289786629095873,1.8025415485210203,-0.023631096033982422,2.0040915270038946,0.1,0.10640054311436317,0.126200134145089
CRBG,0.81,62.64,2.8116213683223994,5.19,-0.5,32.01,7.53,7.3,0.9289475551864944,0.11578627474240434,11.630486732992857,-0.16540997514113684,1.9769815036375706,0.1,0.11429324895584597,0.12449298228131088
MOS,0.38,39.16,3.9641943734015346,6.32,-5.63,23.46,2.08,10.0,-1.036780256915547,-2.895286472930749,1.927171288179178,0.6180937659575603,1.6998482364862832,0.1,0.0810629627990491,0.10704155602691942
AMKR,0.46,53.14,5.486593843098311,3.34,-8.27,40.28,1.61,7.27,0.1336147521639479,-4.444844378166056,1.0903716076172647,1.653000600229806,1.5617046306012101,0.1,0.058569916091653046,0.09834248147913872
BKR,0.33,33.22,3.1541537094624608,7.36,-3.99,45.02,1.36,16.83,-1.534072556910697,-1.9326823196785128,0.6452653945524172,0.06743893729032055,1.3356733919876747,0.1,0.10188131924427156,0.08410901347149051
EOG,0.27,32.81,2.5545293770878366,4.02,-3.92,101.78,1.1,18.48,-1.5683974463043013,-1.8915955570396976,0.18235493296497565,-0.3401776784025568,1.2814863056036503,0.1,0.12579590741899652,0.08069678529805036
OXY,0.63,30.21,2.5179856115107913,10.37,-3.16,38.92,1.22,5.82,-1.786067476605209,-1.445510705532564,0.3960059152361023,-0.36501964235388407,1.246755511030829,0.1,0.12762159543335863,0.07850974400028678
RRC,0.33,32.53,3.7735849056603774,3.13,-3.58,34.45,1.36,14.18,-1.5918388341828607,-1.6920312813654537,0.6452653945524172,0.48851999457309664,1.2295556198950837,0.1,0.08515757537010081,0.07742664547940382
FTI,0.4,45.41,2.8297581013235966,3.73,-5.15,43.82,1.3,28.72,-0.513534991769135,-2.613548671978875,0.5384399034168537,-0.15308086618654132,1.2174753496138284,0.1,0.11356071067309244,0.07666593584640491
