Ticker,Rel Volume,RSI,ROE %,ATR/Price %,"Avg Volume, M",Debt/Eq,Price,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
WMT,3.34,43.81,22.8,1.8783176806859945,15.45,0.8,97.96,-4.49,-0.7820321563854676,-2.8914276217900357,5.826693967400625,-0.7695969453896686,2.528009410380518,0.1,0.14995408114010977,0.18943931477408663
CARR,1.92,35.17,10.79,2.4457775726811257,4.58,0.81,65.01,-2.74,-1.6364054546723217,-1.7671570451952368,2.5568243775494306,-0.23812334391847167,1.7264240848553787,0.1,0.11516231281314998,0.1293715894812489
FSLR,1.29,53.3,15.92,5.25,4.05,0.12,192.0,-6.99,0.15639407055229165,-4.49752844549689,1.1061075876858724,2.38826525869003,1.5017920228987809,0.1,0.05364979083742675,0.11253852560157658
FTNT,1.56,31.88,165.17,4.861736334405144,6.36,0.48,77.75,-2.34,-1.9617397314505338,-1.5101809134021398,1.7278433547702545,2.024623895511754,1.358278507101311,0.1,0.05793432274458237,0.10178417398332033
TGT,1.7,37.21,26.32,3.4411704100556357,6.72,1.3,97.06,-1.65,-1.434678425910148,-1.066897086059048,2.0502248636288227,0.6941452157114717,1.2161818803438358,0.1,0.08185046607207594,0.09113599858725113
CP,1.37,38.98,9.1,2.0346852382903178,2.81,0.48,73.23,-1.43,-1.2596505627194388,-0.9255602135728448,1.2903255927479118,-0.6231456628134939,1.085203456533231,0.1,0.13842996282469797,0.08132097861343857
CPNG,1.2,42.26,8.55,2.5513819985825656,10.29,0.98,28.22,-2.15,-0.9353051439253551,-1.388117250800419,0.8988623319910781,-0.1392159755619113,1.0068919021084275,0.1,0.11039562168776333,0.07545261153054257
AMAT,1.14,29.87,35.64,3.503503503503503,7.24,0.32,159.84,-0.7,-2.1605001862603226,-0.4565787730504431,0.7606988281945486,0.7525253658029658,0.9928648648173811,0.1,0.080394211569884,0.07440147923577536
PEG,0.87,40.67,12.19,1.9450114059310841,2.82,1.41,83.29,-2.2,-1.092533563401755,-1.420239267274556,0.13896306111016668,-0.707132699278963,0.9779763728866384,0.1,0.14481221088863389,0.07328579283927777
CART,1.31,41.13,14.54,4.177897574123989,4.16,0.01,44.52,-2.18,-1.0470460961318528,-1.4073904606849013,1.1521620889513822,1.3841517601606583,0.9510700366600746,0.1,0.0674170194216761,0.07126953535348218
