Ticker,"Avg Volume, M",ATR/Price %,RSI,ROE %,Rel Volume,Debt/Eq,Price,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
VICI,10.38,1.6210374639769451,23.57,10.36,2.1,0.64,27.76,-0.57,-2.5399378456812904,-0.4037946148591773,3.502899282493486,-0.9967143921090166,1.8305576568987627,0.1,0.13609469114296732,0.12800908298241814
ROL,2.35,2.068608860541286,41.65,36.21,1.48,0.6,58.01,-4.18,-0.9705164499090211,-2.451655954360529,1.733762179043671,-0.657052857127524,1.6102180630158291,0.1,0.10664877116179125,0.11260095352450365
LKQ,2.83,2.768903088391906,37.15,10.87,1.76,0.84,28.17,-2.42,-1.361135713237296,-1.4532526420274599,2.5327273225371356,-0.12560019014229903,1.5041414078643216,0.1,0.07967580877640884,0.10518311814487886
LI,4.8,3.507763082231167,30.4,6.53,1.15,0.25,17.39,-3.12,-1.9470646082297087,-1.850344868523567,0.7921246884978016,0.4351200023684443,1.4440062543263625,0.1,0.06289324216582953,0.10097792644802603
INVH,4.79,1.9547719432732849,27.99,5.99,1.14,0.86,26.09,-2.14,-2.156262924812185,-1.2944157514290173,0.7635902190873207,-0.743443592446223,1.4347999397465072,0.1,0.11285950453212465,0.10033413799232041
CRH,4.22,2.4820114803136875,62.49,15.08,2.97,0.89,123.69,-2.25,0.838484760704591,-1.356815958449834,5.985398121205323,-0.3433219764789022,1.41282774109979,0.1,0.08888540393182998,0.09879764391398647
LIN,2.34,1.8008094676981403,23.77,18.24,1.53,0.67,390.38,0.26,-2.522576989533367,0.06704331084334957,1.8764345260960755,-0.8602855782943657,1.3207522505901579,0.1,0.12250857014491318,0.09235889610351738
ZTS,3.9,2.8941684665226783,29.96,49.87,1.12,1.35,115.75,-2.04,-1.98525849175514,-1.2376882905010018,0.7065212802663595,-0.030536406034239568,1.2723892704463453,0.1,0.07622728101111134,0.08897692082665302
BSX,9.74,2.453258402680212,30.86,12.66,1.3,0.51,92.53,-1.4,-1.907134639089485,-0.8746325405617041,1.2201417296550152,-0.365142661534732,1.2541611249623925,0.1,0.08992717308135885,0.08770224467587613
PPL,5.71,1.7751479289940828,27.32,7.65,1.31,1.32,33.8,-0.38,-2.214421792907728,-0.29601243909594827,1.2486761990654962,-0.8797600972049014,1.2163632307348762,0.1,0.12427955405166505,0.08505907538782
