Ticker,ATR/Price %,"Avg Volume, M",RSI,Price,Debt/Eq,Rel Volume,Change %,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PYPL,4.796163069544365,15.6,12.84,41.7,0.49,9.04,-20.31,25.73,-2.4283340107313327,-4.927223458776395,10.20625457825415,0.9755652795725198,4.518139502021283,0.1,0.09464338693504645,0.21701761497820535
NDAQ,3.0327214684756587,3.29,25.31,87.71,0.77,4.35,-9.4,15.28,-1.6553582579854558,-2.270420622007689,3.8815779068717733,-0.20148174124132645,2.170486363496088,0.1,0.14967583469596515,0.1042539243726123
INTU,5.185560598032667,2.16,17.05,434.09,0.36,3.46,-10.89,21.99,-2.1673694622902624,-2.633265372400482,2.6813727389548614,1.2354770342581647,2.092949036506916,0.1,0.08753636344866564,0.10052961135229777
NVO,5.049701789264414,20.53,35.02,50.3,0.6,3.37,-14.64,68.3,-1.05346615219857,-3.5464652475501293,2.5600036770306795,1.1447951505966485,2.007497210258516,0.1,0.08989147005858941,0.09642514500732025
DOCU,5.708704145864988,3.06,18.96,46.07,0.08,2.87,-11.4,15.22,-2.048974619648352,-2.7574605554208342,1.8857311107852235,1.5846604458669444,1.9009324888445653,0.1,0.07951456330474949,0.0913065731545197
SHOP,6.018945427110403,8.06,24.69,119.29,0.09,3.19,-9.77,15.74,-1.6937900917226203,-2.3605230096891208,2.317265553182315,1.7917376610137807,1.703288930029194,0.1,0.07541605463806132,0.08181325544471285
TOST,5.0265486725663715,8.38,26.49,28.25,0.01,2.79,-10.37,15.96,-1.5822138002276263,-2.506634989713064,1.7778475001859504,1.1293411049307926,1.6737324660233523,0.1,0.0903055250756599,0.08039358406828294
CTSH,3.248322147651007,4.65,28.95,74.5,0.08,2.45,-10.14,14.5,-1.429726201851134,-2.450625397370553,1.3193421551390405,-0.057574431265770214,1.6277489338819755,0.1,0.13974141004540422,0.07818487925314148
DT,4.339022273647672,4.0,23.08,34.57,0.03,2.54,-9.15,20.57,-1.793588885782032,-2.209540630331046,1.4407112170632224,0.6704368241835913,1.6221938916338625,0.1,0.10461460867608492,0.07791805658880159
NOW,5.119795936959096,11.28,22.49,109.77,0.19,2.93,-6.97,15.49,-1.8301611146609467,-1.6786671029107172,1.9666438187346782,1.1915809969045223,1.5022605402065656,0.1,0.08866078312177349,0.07215735578010568
