Ticker,Rel Volume,ROE %,Price,Debt/Eq,"Avg Volume, M",RSI,ATR/Price %,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
UBER,2.47,72.26,92.95,0.55,17.84,47.5,3.184507799892415,-4.99,-0.46265009844233995,-2.96077448018446,2.5919984583057647,0.645433252178561,1.6520549689626771,0.1,0.08423855875942189,0.1569305824035137
BLDR,1.22,17.83,129.28,1.27,2.21,40.52,4.602413366336633,-5.63,-1.0180624194625605,-3.3191296970395965,0.24065688165313084,2.226673252046483,1.3434812919017327,0.1,0.05828645236066642,0.12761881750142118
BSX,1.64,11.71,98.5,0.54,7.34,28.5,2.081218274111675,-0.48,-1.9745174479243164,-0.4354900614084191,1.0307076514084157,-0.5849487781105133,1.1081390363591916,0.1,0.1288948644925651,0.1052633887049827
BALL,1.16,9.59,49.04,1.42,2.4,31.54,2.3450244698205545,-1.39,-1.7326186720072003,-0.9450263853743164,0.12779248597380433,-0.29075365063530395,0.9918096323418221,0.1,0.11439469006547387,0.09421312617372918
TGT,1.4,26.32,88.93,1.32,6.71,32.11,2.496345440233892,-0.88,-1.687262651522741,-0.6594620719428795,0.57925006869111,-0.122001388919846,0.9494038058431736,0.1,0.10746042718989261,0.09018494843463508
BG,0.93,13.2,80.41,1.12,2.01,45.13,3.0593209799776147,-3.92,-0.6512356572987757,-2.361649352004778,-0.30485436413028,0.50582564234178,0.9429563161960098,0.1,0.0876855842119049,0.08957249405243897
TAP,0.96,7.79,46.86,0.49,2.51,30.27,2.2620571916346566,-1.2,-1.8336750685252061,-0.8386396803704477,-0.24842216629061695,-0.3832782743143748,0.9239535562867929,0.1,0.11859043547312785,0.0877674002535928
NVDA,1.22,109.42,170.29,0.11,172.86,42.82,2.8304656761994247,-2.62,-0.8350468982094794,-1.633740317767782,0.24065688165313084,0.2506075452554569,0.8871461473971219,0.1,0.09477534021231283,0.08427102257709985
AMH,1.52,5.99,33.28,0.72,2.3,34.61,1.832932692307692,-0.24,-1.4883327371172177,-0.3011068550877429,0.804978860049763,-0.8618354076788598,0.8734831700495747,0.1,0.14635471806841577,0.08297316080324925
CNM,1.22,24.42,49.09,1.34,2.39,24.89,4.522305968629048,-0.87,-2.261772244325892,-0.653862771679518,0.24065688165313084,2.1373379503604775,0.8548698368964719,0.1,0.05931892916621869,0.08120505909533747
