Ticker,ATR/Price %,RSI,Change %,Rel Volume,ROE %,Debt/Eq,"Avg Volume, M",Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BSX,4.317880794701987,19.57,-17.59,7.52,12.66,0.51,10.4,75.5,-1.976002717412627,-4.427986544990679,7.471453475091733,0.45811971698536985,3.689874965160967,0.1,0.061581089313261686,0.20576456832289522
EA,0.5029465555781345,12.15,-2.26,5.14,10.03,0.32,2.04,196.84,-2.420056855023316,-0.6082492550912019,4.4431454643502715,-1.7322567314479913,2.1217619045549343,0.1,0.528684012075418,0.11831929983992413
AMD,7.0033468205205045,34.85,-17.31,2.68,7.08,0.06,39.73,200.19,-1.0615623909043619,-4.358219653850962,1.313045587701535,2.0000025299828845,1.9595325802063817,0.1,0.03796753319190868,0.10927263912402677
SPOT,4.424216284929516,21.05,-7.06,3.18,22.1,0.29,2.12,440.53,-1.8874312721749154,-1.8042531032006273,1.94924474962201,0.5191731293976602,1.630021168366076,0.1,0.060100995461797715,0.09089755214819194
PLTR,6.206105776121543,29.78,-11.62,2.44,26.23,0.03,45.97,139.54,-1.3649794364146304,-2.940456758904581,1.0076699899797066,1.5422599064096532,1.5542106757167,0.1,0.04284487123723057,0.08667000692196383
CRDO,11.655492521918514,22.12,-12.9,2.32,22.87,0.01,6.19,96.95,-1.823396511090894,-3.259391118400428,0.8549821911187925,4.671070952216803,1.482865013324041,0.1,0.02281326184736746,0.08269144137095036
TCOM,3.554626241505489,27.85,-5.11,3.43,19.95,0.19,2.93,57.39,-1.4804813886502948,-1.3183765399061733,2.2673443305822474,0.019890722017139362,1.4310800689094993,0.1,0.07480387101118795,0.07980367231815307
APH,5.853846153846154,38.21,-11.6,2.37,36.8,1.16,8.96,130.0,-0.8604812719863141,-2.9354734095374586,0.9186021073108404,1.340007093647343,1.3783038506307541,0.1,0.04542309378729678,0.07686062523000677
UBER,3.747294372294372,28.42,-5.15,3.19,41.37,0.45,19.71,73.92,-1.4463694131195544,-1.3283432386404186,1.9619687328604192,0.13051274315598063,1.3504919003724762,0.1,0.07095781020794392,0.07530970169109419
PYPL,4.850109675846941,12.4,-1.61,3.27,25.73,0.6,17.65,41.03,-2.4050954622466754,-0.4462904006597173,2.0637605987676952,0.763703387204462,1.3343668330503302,0.1,0.05482346186658721,0.07441049303279369
