Ticker,Change %,ROE %,ATR/Price %,Rel Volume,Debt/Eq,RSI,Price,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
HRL,-13.09,9.46,3.251387787470262,5.25,0.35,24.25,25.22,3.31,-2.8899056715934317,-4.549519488383511,6.212871413213837,0.7239943431106605,3.7739736543236306,0.1,0.08719078003170412,0.21235098775311428
COO,-12.85,5.01,3.7782595230721583,5.62,0.3,30.67,64.58,2.65,-2.301002343824529,-4.468312816918775,6.741349245826095,1.2748352476524893,3.590046630660127,0.1,0.07503217702329196,0.2020019263322191
HMY,-14.04,25.19,5.471847739888977,3.44,0.05,29.66,12.61,4.06,-2.3936491290342787,-4.870962562931419,3.627614988813334,3.0454704938325126,2.96359004056741,0.1,0.05180901422173724,0.166752958566312
KDP,-1.45,6.18,3.0727210652099695,1.81,0.71,26.6,29.29,11.68,-2.674341369372727,-0.6109959223438698,1.2994558883863618,0.5371994701821435,1.3560392827598668,0.1,0.092260583163515,0.0763005541377288
BF-B,-4.86,22.65,3.486365205384881,1.33,0.68,41.59,28.97,4.99,-1.2993163096755544,-1.764807379405311,0.6138630244569467,0.9696616748059651,1.0982497285890955,0.1,0.08131421141342894,0.061795453817835584
JD,-1.4,17.26,2.5008226390259956,1.88,0.44,37.95,30.39,9.73,-1.6332116543918793,-0.5940778657887167,1.3994381810427348,-0.06071654067644852,1.0655106223394004,0.1,0.11335911349774931,0.05995331548114842
ED,-1.9,8.54,1.670571457675461,0.92,1.14,34.06,98.17,2.61,-1.9900393716848748,-0.7632584313402477,0.02825245318390453,-0.9287386432657845,1.0621785860221522,0.1,0.1696970435311736,0.05976583107664382
DXCM,-1.7,22.83,3.0633990410229086,1.67,1.0,35.46,75.08,3.58,-1.8616180852555193,-0.6955862051196352,1.0994913030736158,0.5274533557326841,1.0621744266727589,0.1,0.09254133515705074,0.05976559704163643
BBY,-3.7,30.21,3.413157170382604,2.56,1.47,54.28,72.66,3.66,-0.13526907768375207,-1.372308467325759,2.370694738276073,0.8931231598402386,0.9124787724245196,0.1,0.08305830151481432,0.051342639450095075
MDLZ,-0.78,13.51,1.843994778067885,0.98,0.82,35.32,61.28,7.38,-1.8744602138984547,-0.3842939645048183,0.11395156117508135,-0.7474257122077562,0.8880968458969374,0.1,0.1537374404455349,0.04997073634326646
