Ticker,Change %,Price,"Avg Volume, M",RSI,Debt/Eq,Rel Volume,ATR/Price %,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
WMT,0.42,119.7,20.11,67.47,0.71,20.32,1.9883040935672514,24.87,0.933963876182883,0.24782284373713814,14.176477557533245,-0.7505529772072872,2.4967254572553705,0.1,0.14458733971506638,0.15463725199497988
CEG,-9.82,307.71,2.65,35.51,0.63,3.46,5.527932143901727,20.35,-1.4313737336637071,-4.219089349039402,1.624207460153013,2.302322204728655,2.0722713505038257,0.1,0.0520056310297893,0.12834825154628968
VIPS,-8.29,16.71,2.75,30.04,0.21,1.33,3.8898862956313582,17.83,-1.8362046700173007,-3.551669851485876,0.038422447850528195,0.8895326556727104,1.8044873065289462,0.1,0.07390539917743394,0.11176277212641816
AMCR,-7.29,40.94,4.43,40.86,1.34,2.3,2.540302882266732,7.44,-1.0354239147438304,-3.1154479576600425,0.760587453453068,-0.2744624449492137,1.6323688905268903,0.1,0.11316902462313527,0.10110244149577471
DOCU,-4.99,56.71,2.74,27.26,0.08,1.97,4.443660730029976,15.22,-2.041950557231741,-2.112137601860624,0.5149024515470494,1.3671546552515652,1.420195880466581,0.1,0.0646952179518723,0.08796128849960307
NOW,-2.94,127.31,8.72,19.28,0.21,2.26,3.723195349933234,16.81,-2.632544866573912,-1.2178827195176642,0.7308074532220354,0.7457642585590226,1.4192347199205564,0.1,0.07721421317273096,0.08790175803535785
AZN,0.43,94.39,5.19,56.71,0.71,10.55,1.832821273439983,21.73,0.13762367962627148,0.2521850626753965,6.9027125011035375,-0.8846545370418281,1.3325748941193067,0.1,0.1568530459567907,0.08253439284054771
WDAY,-3.04,186.86,2.75,22.36,0.43,1.69,3.0397088729530126,7.34,-2.4045961857751794,-1.2615049089002477,0.3064424499298213,0.15626760154033464,1.3287971129683303,0.1,0.09457603061643897,0.08230041209023022
ADBE,-2.62,296.12,3.98,22.35,0.57,2.12,3.0629474537349726,55.43,-2.405336278894656,-1.0782917134933974,0.6265774524134217,0.17631052286534651,1.3269542355319683,0.1,0.09385848231999752,0.08218627158603724
STT,-6.07,128.02,2.08,45.93,1.07,2.1,2.2262146539603185,11.07,-0.6601967031692931,-2.583257247192525,0.6116874522979053,-0.5453587491652095,1.3120822480027383,0.1,0.12913561543674468,0.0812651597847614
