Ticker,Price,RSI,ROE %,Change %,ATR/Price %,Debt/Eq,"Avg Volume, M",Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
CNC,33.78,15.92,12.59,-40.37,8.91059798697454,0.66,5.19,17.91,-4.004165005994133,-13.984892098246242,16.40465923460289,6.036805873631625,8.973421246041545,0.1,0.02560152119934938,0.44455919251210724
NWG,13.01,35.92,13.7,-6.34,2.382782475019216,1.45,5.18,2.22,-2.110231835397592,-2.393942414919831,1.2276144055915954,-0.26136029841827046,1.8481198985712441,0.1,0.0957388539046431,0.0915591352781775
ADBE,378.47,39.24,52.25,-3.48,2.5338864374983485,0.57,3.84,1.8,-1.7958389290785663,-1.4197985390951606,0.8213455191553466,-0.1155721916303528,1.301299436854909,0.1,0.09002963190711552,0.0644686804511573
BRO,107.81,44.13,16.18,-1.03,2.226138577126426,0.59,2.87,3.56,-1.3327722688677122,-0.5853046594551456,2.5238056146977224,-0.4124934450213819,1.2173373923546829,0.1,0.10247558961800114,0.06030905195704735
AIG,82.36,42.1,6.13,-4.09,2.0276833414278777,0.21,4.29,1.21,-1.525006485683261,-1.6275704846381849,0.25063446439966364,-0.6039670015049647,1.2139255326429352,0.1,0.11250517208558067,0.0601400223799406
BRK-B,480.48,37.43,13.2,-1.86,1.4277389277389279,0.21,5.42,1.24,-1.9672398810175533,-0.8680107492923752,0.2796536705736814,-1.1828052980968111,1.1665489845328925,0.1,0.15978051647277272,0.05779290421906048
UNH,307.56,44.57,24.33,-5.7,3.420470802445051,0.86,17.41,1.04,-1.2911057391145884,-2.175952176973052,0.08619229608022964,0.7398220280361109,1.1567265270431089,0.1,0.06669399519485399,0.057306282266249675
HLN,10.26,32.91,8.9,-0.87,1.461988304093567,0.63,16.56,0.99,-2.395268777572372,-0.5308070999684508,0.037826952456866646,-1.1497608189482298,1.146668029525484,0.1,0.1560374064714875,0.056807966472115654
PGR,257.8,37.36,34.34,-2.46,2.179984484096199,0.24,3.4,1.01,-1.9738686471146414,-1.0723765973674808,0.057173089906211845,-0.45702383147183306,1.1233228366971681,0.1,0.1046451774894109,0.0556514042437043
BABA,110.71,38.36,13.04,-2.86,2.6375214524433206,0.25,18.66,0.72,-1.8791719885848144,-1.208620496084218,-0.22334590310929334,-0.015583069056207434,1.0376164959179233,0.1,0.08649213565678512,0.05140536022043989
