Ticker,"Avg Volume, M",Rel Volume,Debt/Eq,Change %,ROE %,Price,ATR/Price %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ABT,6.86,3.17,0.25,-1.1,30.62,107.42,2.941724073729287,16.46,-2.9163820259610405,-0.6180184512283317,5.120735710984973,-0.013723023396686573,2.262559611552944,0.1,0.08411689260620665,0.1747489519726726
COLB,2.9,2.78,0.49,-2.66,8.49,28.88,2.873961218836565,51.63,-0.23213175067341155,-1.4293379846544527,4.199605075414478,-0.0711762295790225,1.4285530454055504,0.1,0.08610021818149347,0.11033439572036141
MKC,2.98,2.18,0.74,-0.67,14.32,60.79,2.928113176509294,29.86,-1.8936651169802552,-0.3943855029121574,2.782481020690641,-0.025263116941222602,1.3598402327945946,0.1,0.08450789743105878,0.10502735676786389
TEL,2.01,1.44,0.44,-3.25,16.27,223.84,2.84578270192995,38.94,-1.2006599279096932,-1.7361831928092033,1.0346946865312403,-0.09506758044242988,1.2443407876021046,0.1,0.08695276973156266,0.0961067489316091
ALLY,3.08,1.23,1.4,-2.1,5.8,41.11,2.8703478472391146,29.34,-1.9333526388213005,-1.138095075219435,0.538701267377897,-0.07423985173204962,1.1901709385630417,0.1,0.08620860646732807,0.09192293680141868
SYF,3.46,1.82,0.85,-1.91,21.64,76.61,3.2371753034851847,38.78,-1.212871473091553,-1.0392805166611252,1.9322065878563381,0.23677734951209167,1.151016779033496,0.1,0.07643969349468739,0.08889886251483547
SONY,4.23,1.46,0.21,0.57,14.45,23.09,2.0355132091814636,21.19,-2.5553782215223007,0.2505095108368104,1.0819321550220349,-0.7820601858135392,1.1012964983256825,0.1,0.12156574905573084,0.08505871311010268
COIN,9.11,1.42,0.48,-2.77,26.0,216.95,5.199354690020742,33.67,-1.6028776973372107,-1.4865464132934738,0.9874572180404457,1.9004247421703486,1.088747408111794,0.1,0.04759219225068717,0.08408948323793045
BRK-B,4.93,1.1,0.22,-1.14,10.17,478.97,1.2735661941248928,29.4,-1.928773309378103,-0.6388215161879757,0.2316577221877324,-1.4280822435524658,1.0877979577409207,0.1,0.19429589850020235,0.08401615237123725
HDB,4.23,1.28,1.09,-0.12,14.06,32.06,1.8714909544603868,25.78,-2.2050595191176883,-0.10834335971705067,0.6567949386048837,-0.9211275913102603,1.0331627544441615,0.1,0.1322200822810425,0.07979639857196849
