Ticker,Rel Volume,Change %,"Avg Volume, M",Debt/Eq,ROE %,Price,ATR/Price %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PG,2.1,-3.56,8.29,0.67,31.9,138.34,1.937256035853694,27.82,-2.2464039703595873,-1.5270190016326672,2.3441153326034474,-0.7665347256868336,1.866174579286662,0.1,0.14506544546782396,0.12557185560831238
LIN,1.95,-2.55,2.29,0.67,18.24,389.38,1.7977297241768966,22.18,-2.750912741093735,-1.0122232814631376,2.0304973609251804,-0.869911826820234,1.8101882627619648,0.1,0.15632433844026136,0.12180462732607533
NFLX,2.5,-3.44,39.91,0.66,42.86,96.79,3.9053621241863823,30.2,-2.0335084252625535,-1.465855153691733,3.1804299237454923,0.6916640877822917,1.7916968286048698,0.1,0.0719597570954818,0.12056036876327092
INCY,1.81,-5.68,2.14,0.01,30.39,96.7,3.712512926577042,40.77,-1.0880017396845496,-2.6075803152558383,1.7377872540254649,0.5487792744079037,1.5861332425934382,0.1,0.07569775927634469,0.10672832902408355
BSX,1.53,-3.77,9.62,0.51,12.66,93.84,2.39769820971867,33.36,-1.7508403905959034,-1.6340557355293022,1.1523670402260333,-0.4253863315116733,1.4577256853401956,0.1,0.11720779065824173,0.09808799311050372
SE,1.64,-4.26,4.44,0.42,15.66,128.28,4.685063922669161,32.48,-1.8295580711359833,-1.88380811462145,1.3823535527900954,1.269356644168073,1.4492132111563134,0.1,0.059984007574914774,0.09751520255223957
MRVL,2.02,-6.99,20.1,0.36,18.04,92.0,5.967391304347826,53.81,0.07845116286390516,-3.275285655277704,2.176852414375038,2.219451904544461,1.332317364765391,0.1,0.04709409782153719,0.08964947096038427
CHD,1.43,-3.45,2.29,0.57,18.59,81.6,1.997549019607843,37.6,-1.3715642934482462,-1.4709521410201443,0.9432883924405219,-0.7218627652208736,1.2557247070741282,0.1,0.14068686528730007,0.08449567545860408
WRB,1.51,-0.16,2.83,0.32,20.92,66.61,2.657258669869389,21.1,-2.8475208035747417,0.20595669002713543,1.110551310668931,-0.23307416030350292,1.1699651179057988,0.1,0.10575895866402805,0.07872505203054836
RRC,1.52,-4.85,3.06,0.33,14.18,37.68,3.5031847133757963,46.84,-0.5450286477774083,-2.18453036699771,1.131459175447482,0.3936849154578436,1.1422689987150034,0.1,0.08022097971406629,0.07686142516597785
