Ticker,Rel Volume,ROE %,RSI,"Avg Volume, M",Change %,Price,Debt/Eq,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PSTG,6.88,9.27,33.39,3.11,-27.31,68.85,0.16,8.671023965141613,-2.055793607141478,-10.984169881449505,12.2291339421707,3.7314571167060104,6.636668297770383,0.1,0.031889154275867526,0.34638835208145136
LI,1.56,6.28,26.38,4.78,-3.65,17.44,0.25,3.727064220183486,-2.722239507205942,-1.8020599491955418,1.3379117647422176,0.44102781984691264,1.8069843807042716,0.1,0.0741901949144661,0.09431213280304433
NFLX,1.42,42.86,38.88,37.41,-4.93,103.96,0.66,3.395536744901886,-1.5338552346230885,-2.2988097680157056,1.0513006548098889,0.22038125845595882,1.5296547560399596,0.1,0.08143384734955512,0.07983743746485612
VICI,1.23,10.36,24.28,9.96,-0.53,28.3,0.64,1.6254416961130742,-2.9218880649998615,-0.591232265821393,0.6623284341874431,-0.9576972266489536,1.4578275252898232,0.1,0.17011475810874602,0.07608855097877508
PPL,1.64,7.65,32.97,5.47,-1.16,34.81,1.32,1.7810973858086756,-2.095723318700262,-0.8357263172719422,1.501689541846405,-0.8541013100115795,1.4117554119607103,0.1,0.1552478955711904,0.0736839041444075
WRB,1.38,20.92,31.89,2.51,-1.58,71.65,0.32,2.12142358688067,-2.1983997198514205,-0.9987223515723086,0.9694117662577949,-0.6275987978019996,1.3756349580300642,0.1,0.13034248448266134,0.07179866535408345
MSFT,1.54,32.24,37.86,21.83,-2.5,477.73,0.33,2.262784417976681,-1.6308273912658497,-1.3557612838493012,1.2969673204661707,-0.5335167574817854,1.3580511761317156,0.1,0.12219971940649761,0.07088091310825027
TTD,0.87,16.78,30.58,14.61,-3.35,38.61,0.14,4.480704480704481,-2.3229423916181036,-1.685634210409566,-0.07467156278140152,0.942609572214479,1.2938065409319564,0.1,0.06171163979791651,0.06752778585848328
PYPL,1.53,24.36,40.48,15.92,-2.64,61.24,0.6,3.3638145003265842,-1.3817420477324838,-1.4100932952827567,1.2764950983281471,0.19926866687000405,1.2125145230339631,0.1,0.08220180420986344,0.06328490270481991
CPNG,1.01,8.73,30.3,11.58,-0.56,26.56,1.04,3.0496987951807233,-2.3495621993239593,-0.6028748396999907,0.211939547150927,-0.009789572301449553,1.0767198303187127,0.1,0.09066850188323584,0.056197355501828736
