Ticker,Price,"Avg Volume, M",Debt/Eq,Change %,ATR/Price %,ROE %,Rel Volume,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
AVTR,12.93,8.44,0.67,-16.58,7.037896365042537,12.52,5.17,30.61,-3.048488282026762,-8.75735858341876,10.901327249693214,1.9235975586442509,6.11995209698015,0.1,0.06512858674180519,0.29822144567456743
CNC,57.69,4.72,0.66,-6.32,4.385508753683481,12.59,1.81,40.89,-1.519301182551027,-3.3405876927963596,2.5627929533323783,0.01942113579864727,2.211577583458196,0.1,0.1045188300001716,0.107768795197893
SKX,47.79,3.24,0.48,-5.35,6.465787821720024,14.67,1.97,40.34,-1.6011156674451563,-2.8284758249694852,2.959866015063847,1.512874934681656,1.9910427318897284,0.1,0.0708913216036485,0.09702226953655203
UNH,418.64,5.86,0.88,-1.32,5.486814446780049,15.88,1.58,27.72,-3.478386211743189,-0.7008357967815444,1.9920004270933926,0.8100598517084987,1.7801218032314854,0.1,0.08353995717123307,0.08674422433771434
FI,177.53,3.55,1.1,0.36,5.537092322424379,11.88,2.23,30.69,-3.036587993314888,0.18612084027943343,3.6051097403774826,0.846154857198153,1.6340699659180902,0.1,0.08278139810567846,0.07962720946949016
FUTU,87.85,3.2,0.31,-6.43,7.8429140580535,20.67,1.5,46.54,-0.6788432922749668,-3.398662234508685,1.7934638962276583,2.5015280633865786,1.535666907281152,0.1,0.058443614260930546,0.07483208984429122
GILD,103.17,9.43,1.43,-2.81,3.9740234564311328,32.58,1.51,41.05,-1.4955006051272806,-1.4874818617939596,1.8182809625858751,-0.2759884031465515,1.435298896254264,0.1,0.11534110176142373,0.06994121931563314
TAP,56.8,2.4,0.49,-2.66,3.1514084507042255,8.54,0.95,37.72,-1.9908501227590114,-1.408289304913515,0.42852524652573587,-0.866552200185842,1.3620590690091157,0.1,0.14544869415073108,0.06637228824952539
SNY,52.32,2.92,0.23,-2.28,2.771406727828746,7.34,1.88,47.02,-0.6074415600037256,-1.2076681608163888,2.736512417839895,-1.1393593563651896,1.296526821491538,0.1,0.16539190703690615,0.06317894273255002
TMO,424.24,2.24,0.69,-0.57,4.224024137280784,13.75,1.2,35.18,-2.3686842893609925,-0.3048730123793222,1.0489519054811551,-0.09651033586462293,1.1551864702918033,0.1,0.10851458916747166,0.05629151564178325
 
