Ticker,Price,Debt/Eq,"Avg Volume, M",Change %,Rel Volume,ATR/Price %,RSI,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
KVUE,22.21,0.88,17.49,-6.17,2.4,2.8815848716794235,36.98,10.22,-1.871482611777048,-3.1824561049926894,3.3897378598742613,-0.05340962911076729,2.452167085755337,0.1,0.0873422847289879,0.19042971936793268
COO,66.91,0.31,2.31,-0.13,1.77,4.334180242116275,24.34,5.15,-3.1193996819111725,-0.48705683919059384,1.9700298797070446,1.3605401306358902,1.5202117452634383,0.1,0.05806962153703071,0.11805618699966342
CPRT,51.01,0.01,5.8,0.41,1.15,2.9013918839443247,23.26,18.54,-3.2260255075238984,-0.24607743463212833,0.5728569468440687,-0.034129573010331246,1.3332203764244561,0.1,0.0867460227367886,0.10353486253564775
RIO,58.85,0.25,3.29,-1.23,1.3,1.8861512319456246,40.16,20.93,-1.5575287919173553,-0.9779408114393198,0.9108826564076922,-1.0223602291130636,1.171826915367681,0.1,0.13343797786211875,0.09100141337739266
HIMS,54.73,0.12,35.24,-3.59,3.25,9.44637310433035,56.48,36.79,0.0537059062305017,-2.031110060991132,5.305216880734793,6.336725527077235,1.119462277605456,0.1,0.026643475072733756,0.08693489469202649
BRK-B,497.83,0.21,5.51,-0.99,1.07,1.6551834963742642,39.08,13.2,-1.664154617530081,-0.8708388538577797,0.3925765684101367,-1.2471831776552582,1.0904813464333043,0.1,0.15205818985284175,0.08468430148318964
FI,162.11,1.1,4.81,0.07,1.59,3.5469742767256798,36.2,11.88,-1.9484901524973495,-0.3978052078726437,1.564399028230697,0.5942774064882668,1.0746554411268103,0.1,0.07095743771936955,0.08345529766702807
TAP,52.77,0.49,2.6,-0.19,0.92,2.44457077885162,32.66,7.9,-2.2979859142279513,-0.5138323285859789,0.05455085884651356,-0.4787971693271074,1.042926273686889,0.1,0.10295639975341656,0.08099128267944364
KDP,32.82,0.72,13.86,-1.29,1.03,1.858622790981109,40.85,6.13,-1.48940673666478,-1.0047163008347049,0.3024363791931705,-1.0491562889657609,1.03834596786003,0.1,0.13541435494832818,0.08063558654507547
HLN,11.05,0.63,14.99,-3.16,1.53,1.7194570135746605,56.35,8.9,0.04087131611045181,-1.8392190536575392,1.4291887444052476,-1.1846196268873372,1.0337214197112639,0.1,0.14637423578838418,0.08027645465260014
