Ticker,RSI,Rel Volume,Price,ATR/Price %,Change %,ROE %,Debt/Eq,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
APO,29.97,2.75,118.34,4.385668413047152,-5.6,16.78,0.57,3.45,-1.7588856911086388,-2.8713527107114736,4.072603473439162,0.5735442762573802,2.3777497076991336,0.1,0.08736607726900177,0.16157023552390898
ARCC,37.44,2.76,18.95,2.3218997361477576,-2.37,9.39,1.12,5.45,-1.1891270247297687,-1.2043764914961133,4.094981216608294,-0.8271881864288495,1.7394412926436025,0.1,0.16501946207470303,0.11819660346184802
ACN,28.76,1.71,214.95,4.791812049313794,-3.87,25.35,0.27,4.6,-1.8511759168540782,-1.978514054599222,1.7453181838492855,0.8492043258550063,1.6045346941930114,0.1,0.07996111731998497,0.10902957851602918
FND,43.83,1.61,66.12,5.353901996370236,-5.48,9.69,0.84,2.45,-0.7017431052972413,-2.809421705663225,1.5215407521579516,1.2307091159046537,1.4101449226772882,0.1,0.07156624191295739,0.09582061835275518
INVH,38.04,1.23,25.68,2.5700934579439254,-4.32,6.09,0.88,6.23,-1.143363276426245,-2.2107553235301545,0.6711865117308814,-0.6587327742277491,1.3740520897536908,0.1,0.1490835456843755,0.09336807782785961
CTSH,25.75,1.31,64.99,4.400677027234959,-2.72,15.16,0.08,5.55,-2.080757387510089,-1.3850085895535054,0.850208457083949,0.5837310056850116,1.3246866828205466,0.1,0.08706811317422328,0.09001365393744946
BAM,44.36,1.61,50.07,3.41521869382864,-4.32,40.88,0.33,2.69,-0.6613184609624619,-2.2107553235301545,1.5215407521579516,-0.08512471137178511,1.3180464461411845,0.1,0.11219154022050543,0.08956244387074433
INFY,31.92,1.22,14.55,4.604810996563574,-3.32,32.85,0.11,14.87,-1.6101535091221866,-1.6946636147947487,0.648808768561748,0.7222819396032346,1.2142195531229534,0.1,0.08320833270604094,0.0825073129188393
DAL,43.7,1.08,67.44,4.1814946619217075,-5.16,27.7,0.97,7.92,-0.7116585840963378,-2.6442723588678954,0.3355203641938803,0.43496634141852775,1.198183268734405,0.1,0.09163198244390632,0.08141763294234869
DASH,36.93,3.48,176.19,5.25568988024292,1.62,10.48,0.33,5.16,-1.2280262107877638,0.8548294263581558,5.7061787247859,1.1640500465871928,1.1554496148488236,0.1,0.07290358719430153,0.07851384264821726
