Ticker,ATR/Price %,"Avg Volume, M",Change %,Debt/Eq,ROE %,RSI,Price,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PDD,5.350553505535055,10.08,-13.64,0.03,45.06,37.81,102.98,5.05,-1.7539367037250575,-6.947533743528093,8.235395007922406,2.116777101876003,4.480915947935484,0.1,0.07809061644952034,0.27166168416509223
CPRT,3.161681181370693,5.39,-1.58,0.01,18.54,25.13,52.82,2.62,-2.987685363785641,-1.4673905444469035,3.4117758213432308,0.060288430449636395,2.2356028891050728,0.1,0.13215374910516192,0.1355364958939806
HMY,5.328719723183392,6.48,-8.78,0.05,25.19,45.35,14.45,0.95,-1.0203038254240484,-4.73911782748045,0.09677827336494944,2.096263833210264,1.825526849868538,0.1,0.07841058327304234,0.11067507274988564
FI,4.140127388535032,4.45,0.5,1.1,11.88,32.67,160.14,1.8,-2.2540524854846318,-0.5222248849038791,1.7840524744317394,0.9795579184046893,1.2305517826818577,0.1,0.10092153752332275,0.07460389206580206
ZTO,3.579952267303102,2.99,-1.12,0.27,15.68,33.65,16.76,1.08,-2.158699671063546,-1.258363523586427,0.35483197470457634,0.45326235602274506,1.221612277466131,0.1,0.11671329403174929,0.07406192228312274
UNH,6.623728813559322,13.54,-0.19,0.86,24.33,26.98,295.0,1.45,-2.8076826018682848,-0.8357654161945939,1.0892925092865906,3.312950386533548,1.1617702695259708,0.1,0.06308048432448592,0.07043391835496719
WDAY,3.380693689928959,2.37,0.54,0.38,5.7,39.32,239.3,1.99,-1.6070155304844047,-0.5040486222203594,2.1612078840819633,0.2660549969955816,1.1445085305635019,0.1,0.12359239254300931,0.06938740172027713
JD,3.5955746773202213,15.23,-2.43,0.37,19.81,38.5,32.54,0.77,-1.6868005384693951,-1.8536361264716974,-0.26052685156684124,0.46793991801021684,1.1402534706149925,0.1,0.11620618651836244,0.06912943286630474
CAVA,5.100801554529998,3.97,-1.31,0.57,21.73,36.09,82.34,1.1,-1.9212906229130862,-1.3447007713331456,0.394532544141442,1.8821302235549418,1.0337904744589754,0.1,0.08191418880475823,0.06267496749068646
JHX,3.836206896551724,2.36,-1.07,0.56,21.05,40.73,23.2,1.26,-1.4698242362663119,-1.2356431952320275,0.7121370996363671,0.6940186286626033,1.019939158085432,0.1,0.1089169674265875,0.061835212409881164
