Ticker,Debt/Eq,Price,ROE %,Change %,"Avg Volume, M",ATR/Price %,Rel Volume,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
RDDT,0.01,139.83,20.94,-7.43,4.49,9.990702996495743,4.9,18.7,-2.264389671651919,-3.0620140183150166,5.290948185846519,3.9673738772260556,2.525693540935126,0.1,0.040517557666906234,0.14073983887215946
ARWR,1.21,64.52,65.14,-0.19,2.71,6.695598264104155,8.74,45.69,-0.5508241539662981,-0.8296704650104589,10.823009032098554,1.938700179253761,2.4539049051361994,0.1,0.06045746307146606,0.1367395431627076
AMZN,0.41,210.32,22.29,-5.55,41.78,3.6658425256751617,4.31,28.63,-1.6339448554007812,-2.482344697843667,4.440970087073419,0.07339200940676603,2.321556160109564,0.1,0.11042451549903792,0.1293646416760115
NWSA,0.33,22.5,5.18,-7.06,3.78,3.111111111111111,2.42,19.24,-2.2301056635174166,-2.947930162690336,1.7181588893087458,-0.2681355357126454,2.1827578706057267,0.1,0.13011392725503723,0.12163035064509375
FSLR,0.1,218.73,16.86,-6.67,2.11,6.190280254194668,2.49,37.15,-1.0930193937230674,-2.827679612167024,1.8190037484852157,1.6275946335823668,1.5732859384003384,0.1,0.06539265884111606,0.08766859711266341
NOW,0.19,100.74,15.49,-1.84,12.6,5.866587254318047,2.75,19.85,-2.1913774321062185,-1.3384227941475473,2.19357036828353,1.4283088662402033,1.5313132662215039,0.1,0.06900074391555341,0.08532974363588886
BSX,0.51,76.27,12.66,-1.76,12.06,4.3922905467418385,2.68,24.14,-1.9190100341487781,-1.3137560145530218,2.092725509107061,0.5206390965160003,1.4979493092154421,0.1,0.09216122669610856,0.08347059570005803
NDAQ,0.77,84.83,15.28,-0.8,3.71,3.453966757043499,2.71,23.47,-1.961547599797143,-1.017754659418716,2.135944734468405,-0.05705203834547315,1.4756499414537787,0.1,0.11719825732774161,0.08222800257667952
FOXA,0.69,64.78,16.87,-1.73,3.43,2.778635381290522,1.38,24.95,-1.8675840219470237,-1.3045059722050747,0.21989241011548652,-0.4728285039424082,1.2014928303705725,0.1,0.14568262087177578,0.06695107882716503
ADP,0.7,231.36,73.84,-1.12,2.4,2.394536652835408,1.34,23.4,-1.9659918230738378,-1.116421777796818,0.16226677630036143,-0.7093038366326503,1.182228499228067,0.1,0.16905102885525705,0.06587760779157283
