Ticker,Price,"Avg Volume, M",Change %,RSI,Rel Volume,ATR/Price %,ROE %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
AR,30.18,4.82,-5.69,26.58,2.22,3.7773359840954273,6.31,0.48,-2.367231904707256,-3.621425352221292,4.022783519133012,1.052449459134336,2.7953417978381605,0.1,0.06764007928515557,0.18033253318875944
RRC,33.12,2.71,-3.66,29.07,1.63,3.0193236714975846,11.99,0.34,-2.139391675026187,-2.3675978207554236,2.3080821910055147,0.2895622494701794,2.010106536777649,0.1,0.0846213699653334,0.1296755924576864
EQT,50.5,7.93,-4.45,38.73,1.36,3.3663366336633667,6.26,0.39,-1.2554813863839684,-2.8555405546756383,1.5233883628793732,0.638806906877741,1.679654661258963,0.1,0.07589832308982196,0.10835754689511962
AA,29.63,6.02,-5.24,46.57,1.22,4.016199797502531,20.01,0.43,-0.5381049202395586,-3.343483288595853,1.1165100816287805,1.292849443503144,1.4525729450678357,0.1,0.0636171800042836,0.0937080964582297
ICE,177.94,2.55,-1.8,36.2,1.42,1.539844891536473,10.89,0.69,-1.4869817000759777,-1.2187706244369432,1.6977647691296265,-1.1994312925129218,1.40650939665674,0.1,0.16592535186835994,0.09073645399967233
CTRA,23.24,7.09,-3.29,37.2,1.04,2.5817555938037864,11.42,0.3,-1.395479599802456,-2.139067679552285,0.5933808628780193,-0.15081989773517032,1.3708497101232802,0.1,0.09896339764464314,0.08843598340596205
MKC,68.41,2.34,-1.85,36.4,1.3,1.9880134483262684,14.19,0.8,-1.4686812800212736,-1.2496530759508808,1.3490119566291192,-0.748380492853982,1.296057465201476,0.1,0.12851990798452279,0.08361100100128656
PANW,176.17,7.12,-0.52,43.31,2.34,3.2695691661463364,21.16,0.1,-0.8364017671312389,-0.4281798656801396,4.371536331633518,0.5414171124727785,1.2627691265634082,0.1,0.07814464000222666,0.08146351033059629
INVH,29.95,3.62,-1.93,36.14,0.95,1.869782971619366,5.65,0.85,-1.492471826092389,-1.299064998373181,0.3318162535026383,-0.867371328455415,1.1301382721090187,0.1,0.13664650354025054,0.07290725507006
BALL,52.85,2.52,-1.86,35.82,1.02,2.5543992431409652,9.59,1.42,-1.521752498179916,-1.2558295662536683,0.5352553941279347,-0.17835218141566794,1.097040019518908,0.1,0.10002324661540235,0.0707720271926276
