Ticker,RSI,"Avg Volume, M",Rel Volume,ATR/Price %,Debt/Eq,ROE %,Change %,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BIRK,46.94,2.33,0.78,3.9187913125590175,0.49,12.67,-0.21,42.36,-0.654492997720184,-0.7141571747998048,2.1460387075065754,1.5195458930832308,0.7562807125749881,0.14285714285714285,0.10191979458145946,0.22246514296369432
NWSA,52.6,3.99,0.51,1.7162471395881007,0.34,5.59,-0.83,26.22,0.1745035678064688,-1.3998744621075818,0.05531027596666412,-1.981216436475177,0.6380635118462401,0.14285714285714285,0.23271846832005763,0.21002130462201873
SFM,41.35,2.69,0.39,3.178391959798995,1.3,36.96,-0.1,79.6,-1.4732369555459761,-0.5924976560839089,-0.8739023602732965,0.34274217909663324,0.5139524241061371,0.14285714285714285,0.12566178452354304,0.19695706098634796
MOS,46.13,6.71,0.58,3.1674208144796387,0.38,10.0,0.29,24.31,-0.7731303154015593,-0.16115936245482326,0.5973509804399741,0.32530444834987277,0.41394113850274145,0.14285714285714285,0.1260970451914009,0.18642962282405046
ONON,53.79,6.83,0.41,3.2920051303976057,0.36,15.38,0.62,46.78,0.34879789872108263,0.20381919369286455,-0.7190335875666366,0.5233209446234217,-0.389554794320551,0.14285714285714285,0.12132496450131093,0.10185163049627705
LKQ,55.14,3.93,0.41,2.7115321790264617,0.84,10.87,1.16,30.61,0.5465267615233762,0.8010568310254446,-0.7190335875666366,-0.39929294272789584,-0.5755316806326249,0.14285714285714285,0.14729768234836987,0.08227523810761132
DECK,63.91,3.99,0.44,2.7548743816083032,0.14,43.31,2.12,103.09,1.8310320406167928,1.8628126307278092,-0.4867304285066463,-0.3304040859500829,-1.3571513120769316,0.14285714285714285,0.14498026053385807,0.0
