Ticker,Rel Volume,"Avg Volume, M",ATR/Price %,Debt/Eq,ROE %,Change %,Price,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PBR,2.71,22.69,2.8052805280528057,0.94,19.48,-7.34,12.12,40.31,-0.7466062760282896,-4.493480277050395,4.59022169497744,0.22194955835493185,2.729879676737534,0.1,0.12513876217858155,0.15249454033568036
AKAM,2.24,2.41,2.9916347653480786,1.18,9.21,-5.66,70.53,27.38,-1.7050461253544018,-3.529742449089591,3.4164559087016366,0.43921452075576595,2.471545730720148,0.1,0.11734364666114612,0.1380636785337038
TCOM,2.69,2.61,2.5850340136054424,0.29,12.49,-5.41,58.8,37.78,-0.9341432303047833,-3.386329081833519,4.540274214710384,-0.03482942008332753,2.423703094198815,0.1,0.1358006629686796,0.13539112819130675
FTNT,3.21,5.29,6.076085495362279,0.48,165.17,-1.21,74.39,16.38,-2.5204241874261135,-0.9769845119315095,5.838908701653827,4.035285539103142,1.988346231195619,0.1,0.05777557493424883,0.1110715417745904
CMG,1.48,15.13,3.20945945945946,1.35,42.59,-2.93,41.44,22.21,-2.088273814528106,-1.963668478653285,1.5184516585535273,0.6931699695985863,1.6525531373643336,0.1,0.10937958160198409,0.09231371375453105
CF,2.02,2.84,3.7572611543690524,0.67,24.98,-2.39,80.91,28.1,-1.6516759249278896,-1.6538956053801694,2.8670336257640257,1.3318359660098458,1.597173164159641,0.1,0.09343224184350225,0.08922011822736678
PEGA,1.34,2.07,4.470909800859039,0.13,41.55,-4.75,51.22,39.77,-0.7866339263481735,-3.007717792277489,1.168819296684139,2.163858079364744,1.345401152919335,0.1,0.07851854510166034,0.07515581442282529
FLR,1.2,4.25,6.302220100262593,0.18,102.24,-5.08,41.89,33.48,-1.2528819272964526,-3.197023437055504,0.8191869348147505,4.298929270226611,1.2914113374634737,0.1,0.05570248694259007,0.07213987487028457
LKQ,1.64,2.53,3.462321792260693,0.91,11.2,-0.97,29.46,23.72,-1.9763446441891712,-0.8393076793656804,1.9180315006899709,0.9879747780430499,1.270287135577887,0.1,0.10139130730970884,0.07095985016664985
ACN,1.03,3.7,2.796822742474917,0.27,27.27,-1.04,239.2,20.87,-2.1876016875441144,-0.8794634221973806,0.39463335254477905,0.21208887317682798,1.1311905716007962,0.1,0.12551719045789836,0.06318973972306109
