Ticker,"Avg Volume, M",Change %,ATR/Price %,RSI,Rel Volume,Price,ROE %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
KVUE,21.67,-7.47,4.242781378903948,26.29,3.16,16.97,13.56,0.81,-1.96091888749715,-3.6527184018264576,4.941374272979882,1.8625525871287933,2.7667926471463598,0.1,0.0673383162445568,0.16386721706651974
TOST,8.35,-5.37,3.9568345323741005,35.23,3.29,38.92,14.51,0.01,-1.301063098368032,-2.632530311119583,5.242579774200296,1.5405759027165644,2.271216057889068,0.1,0.07220462516478539,0.1345159909785554
KDP,15.08,-4.28,2.7360308285163772,21.69,1.51,25.95,6.18,0.71,-2.3004420004718638,-2.103004111657443,1.1183813728746175,0.16594864713936766,1.7482875491062442,0.1,0.10442197919387979,0.10354480867930828
CELH,6.13,-6.19,4.382547721075185,35.94,1.68,51.34,7.91,0.42,-1.2486584439741086,-3.030889470347982,1.5122654898551597,2.019929750020578,1.5983018929817057,0.1,0.065190791391784,0.09466169555755939
CHD,2.16,-4.06,2.030456852791878,29.29,1.49,86.68,12.07,0.55,-1.7394907703397278,-1.99612726405958,1.0720420649945537,-0.6285289701810789,1.5847276220567763,0.1,0.14070811396770677,0.09385774011750524
TAP,2.54,-3.18,2.350853847859836,23.62,1.39,45.09,7.79,0.49,-2.1579899117672556,-1.568619873668128,0.8403455255942344,-0.26776135403303963,1.499158665424535,0.1,0.12153105753862462,0.08878979734807756
LEN,3.49,-4.25,3.6584365515544253,34.87,1.71,121.91,13.04,0.2,-1.3276344724269227,-2.0884299960759165,1.5817744516752554,1.2045792177886396,1.3915195325321807,0.1,0.07809394811774434,0.08241471710029839
OBDC,2.77,-2.86,1.6164584864070537,35.66,1.76,13.61,9.8,1.2,-1.2693250682421349,-1.413162640798509,1.6976227213754151,-1.0946919056298217,1.3878644330022905,0.1,0.17674549433322465,0.08219823864873028
FUTU,2.39,-5.77,5.002384927259719,40.81,1.67,167.72,26.43,0.29,-0.8892068004552264,-2.8268518522066066,1.4890958359151278,2.7178676043616417,1.326652935178503,0.1,0.05711310872785169,0.07857290090930742
TGT,6.88,-1.78,2.4491682070240297,28.66,1.8,86.56,26.32,1.32,-1.7859906749427865,-0.8884944798635447,1.7903013371355427,-0.15705920159473347,1.3098359917687976,0.1,0.11665256531984194,0.07757689359413843
