Ticker,ATR/Price %,Price,Change %,ROE %,Debt/Eq,Rel Volume,RSI,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
WMT,1.9883040935672514,119.7,0.42,24.87,0.71,20.32,67.47,20.11,0.933963876182883,0.24782284373713814,14.176477557533246,-0.7505529772072872,2.496725457255371,0.1,0.14458733971506638,0.1546372519949799
CEG,5.527932143901727,307.71,-9.82,20.35,0.63,3.46,35.51,2.65,-1.4313737336637071,-4.219089349039402,1.6242074601530132,2.302322204728655,2.0722713505038257,0.1,0.0520056310297893,0.12834825154628968
VIPS,3.8898862956313582,16.71,-8.29,17.83,0.21,1.33,30.04,2.75,-1.8362046700173007,-3.551669851485876,0.03842244785052804,0.8895326556727104,1.8044873065289462,0.1,0.07390539917743394,0.11176277212641816
AMCR,2.540302882266732,40.94,-7.29,7.44,1.34,2.3,40.86,4.43,-1.0354239147438304,-3.1154479576600425,0.760587453453068,-0.2744624449492137,1.6323688905268903,0.1,0.11316902462313527,0.10110244149577471
DOCU,4.443660730029976,56.71,-4.99,15.22,0.08,1.97,27.26,2.74,-2.041950557231741,-2.112137601860624,0.5149024515470493,1.3671546552515652,1.420195880466581,0.1,0.0646952179518723,0.08796128849960307
NOW,3.723195349933234,127.31,-2.94,16.81,0.21,2.26,19.28,8.72,-2.632544866573912,-1.2178827195176642,0.7308074532220353,0.7457642585590226,1.4192347199205564,0.1,0.07721421317273096,0.08790175803535785
AZN,1.832821273439983,94.39,0.43,21.73,0.71,10.55,56.71,5.19,0.13762367962627148,0.2521850626753965,6.902712501103539,-0.8846545370418281,1.332574894119307,0.1,0.1568530459567907,0.08253439284054773
WDAY,3.0397088729530126,186.86,-3.04,7.34,0.43,1.69,22.36,2.75,-2.4045961857751794,-1.2615049089002477,0.30644244992982117,0.15626760154033464,1.3287971129683303,0.1,0.09457603061643897,0.08230041209023022
ADBE,3.0629474537349726,296.12,-2.62,55.43,0.57,2.12,22.35,3.98,-2.405336278894656,-1.0782917134933974,0.6265774524134216,0.17631052286534651,1.3269542355319683,0.1,0.09385848231999752,0.08218627158603724
STT,2.2262146539603185,128.02,-6.07,11.07,1.07,2.1,45.93,2.08,-0.6601967031692931,-2.583257247192525,0.6116874522979052,-0.5453587491652095,1.3120822480027383,0.1,0.12913561543674468,0.0812651597847614
