Ticker,Price,ROE %,Rel Volume,ATR/Price %,"Avg Volume, M",RSI,Debt/Eq,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
SKX,63.13,14.79,11.94,0.20592428322509107,3.44,53.4,0.47,-0.11,-0.18451918197815328,-0.6811509464011267,10.10040316068933,-2.590531165215102,2.5821182935921243,0.1,0.612923081209494,0.1856743514430127
FTI,40.3,29.27,14.06,2.531017369727047,4.31,70.1,0.49,-1.44,1.21705610765391,-1.4611917814569972,12.066288015386387,-0.0626327456782888,2.5049683634761872,0.1,0.049867593829982626,0.18012667251842618
NFLX,1203.5,43.55,1.81,2.382218529289572,3.13,44.79,0.68,-3.54,-0.9071277594471393,-2.6928352052294247,0.7068118502736797,-0.2244105066438547,1.4237904583559187,0.1,0.052982438268507445,0.10238158747491681
TTD,45.24,16.36,1.86,6.299734748010611,14.39,25.02,0.13,-1.95,-2.5663579077121628,-1.7603051843731583,0.7531770591108745,4.034809528590814,1.2614865411929557,0.1,0.02003508897101373,0.09071067579334151
FAST,47.33,32.57,1.98,2.176209592224805,6.19,42.44,0.14,-1.33,-1.1043554199642263,-1.3966771259260609,0.8644535603201416,-0.44838849248870055,1.093090952374499,0.1,0.05799797345858823,0.07860172562737744
CMG,38.96,42.59,1.45,2.5410677618069815,17.28,24.0,1.35,0.65,-2.6519631050429835,-0.23541332636920062,0.3729823466458776,-0.051705712088930565,1.0903487915323329,0.1,0.04967035829080998,0.07840454297421041
EQNR,24.21,19.22,0.76,2.1891780256092526,4.0,45.86,0.82,-2.89,-0.8173262289138274,-2.311612240728435,-0.2668575353074096,-0.43428889258591347,1.0851858465719013,0.1,0.057654400278868714,0.07803328714931539
KDP,27.59,6.18,1.11,2.8633562885103303,13.88,24.08,0.71,0.55,-2.6452489719189978,-0.29406301321550665,0.0576989265529536,0.29869430501918365,1.010429549605749,0.1,0.04407965109918035,0.07265772903103802
CAVA,64.32,20.9,0.97,4.275497512437811,4.67,31.66,0.58,-1.29,-2.0090848584213306,-1.3732172511875385,-0.07212365819119175,1.8340089936451163,0.9859801073603539,0.1,0.029520715613330674,0.07089962432169035
CNM,49.45,24.42,2.8,4.994944388270981,2.25,22.72,1.34,1.83,-2.7593892350267586,0.456652978417211,1.624842985250135,2.616209341200035,0.8693053527433652,0.1,0.02526869898022416,0.06250980366667118
