Ticker,ROE %,Price,Debt/Eq,Change %,Rel Volume,"Avg Volume, M",ATR/Price %,RSI,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
K,32.52,83.44,1.48,-0.01,15.23,2.81,0.21572387344199426,60.52,0.415608592944398,-0.5235658454556453,15.23924562477442,-2.07655759753137,3.2932899230869577,0.1,0.5719808095638259,0.21062533692558516
UBER,77.55,84.16,0.47,-5.51,2.87,17.79,3.5646387832699618,37.21,-1.415386031443249,-2.8963831016336434,1.9186346703663517,0.48429670166353894,1.8444164604838287,0.1,0.03461498437168619,0.11796132362873173
NFLX,42.86,92.71,0.66,-4.14,1.77,41.65,4.001725811670802,26.17,-2.2825752486564457,-2.305335894185669,0.7331434041973489,0.8185291996340885,1.670544660870801,0.1,0.030834175448436932,0.10684119535863262
CPNG,8.73,26.06,1.04,-3.23,1.53,10.99,3.1082118188795094,31.1,-1.8953249913320742,-1.912742493618037,0.4744907643059302,0.13527530652519104,1.414194241941206,0.1,0.039698039568640944,0.0904460723603362
PPL,7.65,33.26,1.32,-1.6,1.03,5.78,1.8039687312086592,24.22,-2.435747257131603,-1.2095257431507396,-0.06436890213452555,-0.862055652364031,1.3491773349083178,0.1,0.06839914331049683,0.08628785724126606
SE,15.66,124.22,0.42,-3.45,1.4,4.55,4.653034938013203,29.74,-2.0021526485250045,-2.0076551838651566,0.3343872510314116,1.3165734382034397,1.3386528477224946,0.1,0.026518158023176672,0.08561475414033859
SFM,36.96,80.5,1.3,-3.29,1.44,2.7,3.813664596273292,36.7,-1.4554464028905973,-1.9386277727763424,0.3774960243466481,0.6747222099284965,1.195952945359909,0.1,0.03235468475496578,0.0764882527644152
VICI,10.36,27.76,0.64,0.0,1.25,10.58,1.5489913544668588,23.57,-2.4868045932899885,-0.5192516322625944,0.17272935109927495,-1.0570322131331495,1.1923687704765737,0.1,0.07965823399709372,0.07625902361665313
MDLZ,13.07,53.89,0.84,-0.41,2.02,8.52,2.171089255891631,30.79,-1.9196754131922276,-0.6961343731776816,1.0025732374175769,-0.5813252667701572,1.1741805993899992,0.1,0.05683318428238547,0.07509578267745907
MSFT,32.24,478.56,0.33,-2.74,1.56,22.16,2.0875125376128385,40.62,-1.147531390981564,-1.7013460471585427,0.5068223442923576,-0.6452348625884162,1.1629950584663504,0.1,0.05910858667929149,0.0743804012865823
