Ticker,Rel Volume,"Avg Volume, M",Price,ATR/Price %,RSI,Debt/Eq,ROE %,Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
TTD,1.51,14.13,37.02,4.376012965964343,29.29,0.14,16.78,-5.61,-2.169518602205726,-3.067371069161637,1.444338563245816,1.0991787566607243,2.0118612219616674,0.1,0.06631297149836513,0.14369104286138773
CNQ,3.24,6.89,33.14,2.3536511768255886,48.57,0.46,16.17,-1.72,-0.6415874554252231,-1.1803766042056842,6.1576594198947605,-0.4606823470905399,1.9152875395588236,0.1,0.12329202642502418,0.1367935625650587
PDD,1.56,7.99,111.97,2.8847012592658747,27.84,0.03,30.03,-2.87,-2.284430436377496,-1.7382284383186266,1.5805617093917395,-0.05107988516147388,1.729150936538138,0.1,0.10059496530407418,0.12349932421961278
MDLZ,1.88,8.68,53.79,2.156534671872095,30.35,0.84,13.07,-0.19,-2.0855140889491213,-0.43819112055977005,2.452389844725648,-0.6127196188762619,1.4350467541608678,0.1,0.1345614456717999,0.10249383128880321
SONY,1.38,4.04,26.73,2.2072577628133185,34.94,0.21,14.45,-1.29,-1.7217586966398628,-0.9717885271025843,1.0901583832664155,-0.5735965613471008,1.2181328610978497,0.1,0.13146920490092873,0.08700141900652976
BSX,1.13,9.87,91.75,2.452316076294278,29.73,0.51,12.66,-1.02,-2.134648804250154,-0.8408146182238936,0.4090426525367993,-0.3845814536632174,1.1616788737395982,0.1,0.1183315747482982,0.0829693653893915
RRC,1.31,3.1,36.31,3.552740291930598,40.11,0.33,14.18,-2.63,-1.312038570661896,-1.6218071859820127,0.8994459786621233,0.4641830655319773,1.1603169040045949,0.1,0.0816796048243592,0.08287209086099362
CPNG,1.3,10.94,25.86,3.054911059551431,29.95,1.04,8.73,-0.77,-2.117213905272368,-0.719542480373254,0.8722013494329386,0.08020406629005043,1.1592845982335505,0.1,0.09499013798820033,0.08279836157431421
BZ,0.93,3.23,20.26,3.603158933859822,37.92,0.01,14.1,-3.34,-1.4855950650316727,-1.966220057477829,-0.13584993204689322,0.503071299512531,1.1306581765176937,0.1,0.08053667029825201,0.08075380683821239
ARM,0.9,4.59,136.14,4.2529748788012345,40.17,0.06,12.37,-3.8,-1.3072835982134088,-2.189360791123006,-0.21758381973444724,1.004278661397639,1.0798809061810917,0.1,0.0682313983406982,0.07712719539569611
