Ticker,RSI,ATR/Price %,Rel Volume,ROE %,Price,Debt/Eq,"Avg Volume, M",Change %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
DIS,34.86,2.594542843465773,3.38,11.65,104.45,0.43,11.09,-7.4,-1.264972784251796,-3.444685068880383,5.2402926795614535,-0.41525490027742434,2.7379642745362953,0.1,0.1255280745247059,0.18919531542412554
ARCC,32.45,1.7930327868852458,2.63,10.06,19.52,1.09,4.62,-1.86,-1.4455989010034718,-0.9582283546657483,3.4775152345085814,-0.9529795848291805,1.6321405448688615,0.1,0.18164083211098467,0.11278209437384495
MSTR,35.47,7.605815369190001,1.36,25.59,139.63,0.14,19.92,-6.73,-1.219254140592658,-3.1439764048869163,0.49254542755238595,2.9467552404240487,1.330964252385923,0.1,0.04282091420880741,0.0919705943172094
AR,48.04,4.166666666666666,1.25,7.65,33.6,0.49,5.6,-7.62,-0.27715028682976645,-3.543425227206596,0.23400473561129786,0.6394664721699688,1.3200557298179896,0.1,0.07816511217890736,0.0912168075029527
CTRA,60.89,3.128371089536138,3.09,11.86,27.81,0.28,8.84,-3.6,0.6859391738586312,-1.7391732432457958,4.558685400807676,-0.05711513288928498,1.2860805177359713,0.1,0.1041078433762171,0.08886909572809851
COIN,23.18,5.562653039497498,1.32,26.0,187.86,0.48,9.25,-3.53,-2.1403723874300438,-1.7077559201420007,0.3985306304828994,1.5760190778497098,1.2689491259618242,0.1,0.058549034983770065,0.08768530414231787
BSY,22.0,3.154205607476636,1.22,24.16,34.24,1.07,2.13,-2.51,-2.2288117309018185,-1.249960640629559,0.16349363780918294,-0.039783025954323356,1.2542473601932511,0.1,0.10325514818695165,0.08666940147414011
INTU,22.56,4.0318607324683855,1.34,21.99,487.12,0.36,2.14,-2.37,-2.1868405170508067,-1.187125994421969,0.44553802901764267,0.5490265857988208,1.215093226239118,0.1,0.08077857570559518,0.08396382244504001
CEG,27.14,5.005906674542233,1.36,20.35,270.88,0.63,2.97,-3.49,-1.8435759466264596,-1.6898031640826894,0.49254542755238595,1.2025037850433637,1.214941395754343,0.1,0.06506073496503938,0.08395333084851876
SONY,16.67,2.034358047016275,1.54,14.45,22.12,0.21,4.64,0.09,-2.6282877484480567,-0.0830314967743154,0.915612014365075,-0.7910770006845104,1.2111918387692961,0.1,0.1600937297590213,0.08369423374375219
