Ticker,Price,RSI,ATR/Price %,Rel Volume,Change %,"Avg Volume, M",ROE %,Debt/Eq,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ABT,120.51,21.81,2.5143141647996017,4.46,-8.52,6.17,30.66,0.27,-2.9248076585808858,-5.330879524771822,4.249213682811842,-0.066750833260554,3.746008334061871,0.1,0.1166341066403882,0.21362311794798067
GSK,36.47,35.33,2.6048807238826432,2.81,-4.73,5.22,22.26,1.3,-1.7157174161311957,-3.159606023767437,2.2102642277584583,0.03581576665546787,2.144834472850666,0.1,0.11257896906218853,0.12231318959075896
TTD,81.44,69.98,3.781925343811395,11.85,0.38,9.39,16.88,0.12,1.3830234789044398,-0.23211061740004726,13.381235787566087,1.3688184316329868,2.136545812823382,0.1,0.07754113573514791,0.12184051328020754
CNC,29.14,15.42,6.932052161976664,2.25,-4.18,8.61,12.59,0.66,-3.496263771691354,-2.844513563199518,1.5182571399827645,4.9363360707566715,2.029289888132691,0.1,0.04230418057631208,0.1157240439593892
IPG,24.13,46.69,2.7351844177372566,1.32,-4.25,7.23,13.33,1.17,-0.6997954372681419,-2.8846162399990716,0.36903108349813013,0.1833846593072421,1.3100118378124266,0.1,0.1072157272185972,0.07470587045886502
CPRT,45.89,26.1,2.0919590324689477,1.56,-0.2,6.74,18.54,0.01,-2.5411540239574264,-0.5643899394534888,0.6656055496877132,-0.5450678889026533,1.2745682860216283,0.1,0.14018189738571196,0.07268463575528628
CAG,18.97,22.57,2.899314707432789,1.26,-0.37,8.14,13.27,0.93,-2.8568410473189214,-0.6617821545381182,0.2948874669507343,0.36926216119915894,1.2535693979201945,0.1,0.10114624179047436,0.07148713496254112
SLB,34.67,46.56,3.086241707528122,4.83,0.23,14.68,20.82,0.72,-0.7114213049840039,-0.31804492482766145,4.706432651520783,0.5809569305091062,1.2435040176873287,0.1,0.0950200321994719,0.07091313786565126
NVO,65.29,34.97,3.0326236789707455,0.9,-2.61,9.95,87.53,0.86,-1.7479121267289683,-1.9450678121238232,-0.14997423233364032,0.5202345298900455,1.2105246791427444,0.1,0.09670002528114674,0.06903242952240074
PLD,106.43,46.85,2.6496288640420933,1.5,-3.39,4.42,7.01,0.65,-0.6854866770024648,-2.391926210747417,0.5914619331403174,0.08649302143018077,1.1867375951975039,0.1,0.11067768411056099,0.06767592665691921
