,date,tic,close,high,low,open,volume,day,macd,boll_ub,boll_lb,rsi_30,cci_30,dx_30,close_30_sma,close_60_sma,vix,turbulence
0,2020-07-01,AAPL,88.48501586914062,89.2748220077914,88.43641686423359,88.7304656885215,110737200.0,2.0,2.9670037011249377,91.2356029687085,78.9139087500415,62.807165703023564,107.47229865989301,29.81139776656346,82.60845438639323,76.49038499196371,28.6200008392334,53.06802707996375
0,2020-07-01,AMGN,218.33639526367188,219.2863673089532,199.04625345765217,201.5623617494706,6575800.0,2.0,3.306032637996765,211.2845274114577,182.02399004459699,61.27966292719702,272.79485011358423,47.00984906836285,195.33914744059246,196.31466852823894,28.6200008392334,53.06802707996375
0,2020-07-01,AXP,88.27112579345703,91.00231789901042,87.88631469659914,89.39738925047955,3301000.0,2.0,-0.37303929022505145,105.84893515262345,84.12335793819685,48.50481507296951,-62.63831307049452,1.7521077749794216,93.21567077636719,86.93789698282878,28.6200008392334,53.06802707996375
0,2020-07-01,BA,180.32000732421875,190.61000061035156,180.0399932861328,185.8800048828125,49036700.0,2.0,5.443193477566666,220.7211391056274,160.93286327474368,50.92577107830231,24.220608346258853,15.936440150233603,176.4723347981771,155.6141675313314,28.6200008392334,53.06802707996375
0,2020-07-01,CAT,113.40911102294922,116.41391843875151,113.24717484185135,116.3959354440295,2807800.0,2.0,1.1962335339846248,122.78312626341783,106.54871577759779,52.86541754394212,35.3662966310945,14.542214254967051,112.24467849731445,106.82464930216472,28.6200008392334,53.06802707996375
0,2020-07-01,CRM,190.22317504882812,191.14510460585177,185.83166285480794,186.46610298360815,4754600.0,2.0,4.155848182583469,193.37721484875576,167.57096477770907,58.104318333664665,139.95283013989695,29.225768693395487,178.62611440022786,169.46356658935548,28.6200008392334,53.06802707996375
0,2020-07-01,CSCO,39.30863952636719,39.8718982175496,39.2574330069694,39.718281914904544,17129500.0,2.0,0.24625795580566745,41.32965322809442,37.35077432317511,53.1605514854318,18.69674217106688,13.443369673188341,39.29355964660645,37.694672203063966,28.6200008392334,53.06802707996375
0,2020-07-01,CVX,70.36941528320312,72.89923977182323,70.31319709739651,71.7025920297553,6379400.0,2.0,-0.9220871303093361,82.20763963898438,66.48449750701172,47.82917595163586,-93.284074791292,8.3738953761682,74.4540885925293,72.17489140828451,28.6200008392334,53.06802707996375
0,2020-07-01,DIS,111.15692901611328,113.70445608133579,110.44873396197343,110.97004212563412,11930900.0,2.0,-0.9540567625185616,125.16456053932325,104.69944092552049,49.235687106336904,-76.95792625175707,1.559223812449347,115.70314432779948,109.55284182230632,28.6200008392334,53.06802707996375
0,2020-07-01,GS,175.2339324951172,177.15860374355964,173.4156904387862,176.3958296214086,2620100.0,2.0,0.5495028730666718,197.42478683233952,166.20618393182065,50.96276903364481,-34.041712649444094,4.025022049477256,178.9329396565755,168.2697957356771,28.6200008392334,53.06802707996375
0,2020-07-01,HD,220.004150390625,221.93689592875316,218.92252500824324,221.3340163334128,3677300.0,2.0,2.1085355015035816,229.15039887040336,211.34910979658883,55.509681372480884,24.03137963137668,8.960741470644797,219.01018218994142,205.2063456217448,28.6200008392334,53.06802707996375
0,2020-07-01,HON,130.24783325195312,132.3898548155087,129.21749219455677,131.25106115976183,2609500.0,2.0,-0.2972598993263773,146.38894443716768,121.03081111703155,49.992542618967136,-33.60398874396473,2.4810537407826216,132.75530471801758,127.12898127237956,28.6200008392334,53.06802707996375
0,2020-07-01,IBM,90.75139617919922,92.81079550974223,90.62125026478407,92.07584560951834,4869967.0,2.0,-0.9692020655704852,102.95281091437475,86.00059408440454,47.489700042565964,-74.89059042380626,4.811078290266207,94.51498184204101,93.17172775268554,28.6200008392334,53.06802707996375
0,2020-07-01,INTC,52.4257698059082,53.513328072827676,52.3811949305497,53.40635585325547,14748100.0,2.0,-0.5142139905381171,57.471189135987544,50.360441570799566,48.71406186716775,-79.49734601062019,8.202343643043472,54.47935574849446,53.49654579162598,28.6200008392334,53.06802707996375
0,2020-07-01,JNJ,121.80237579345705,122.67870950333014,121.52471764410957,122.07134885096912,6174800.0,2.0,-1.4462012707998042,129.14116284911657,118.84958422119593,46.81580347144123,-95.67313903664096,14.341942047527715,125.06312306722005,126.57253748575846,28.6200008392334,53.06802707996375
0,2020-07-01,JPM,80.7623291015625,82.88400458193321,80.56314824823161,82.17389216825521,18755700.0,2.0,-0.9587914349305038,97.65757281002352,75.93465741458586,46.82895178124876,-79.54100952741587,2.276718278489625,85.78160552978515,82.63344078063965,28.6200008392334,53.06802707996375
0,2020-07-01,KO,38.513267517089844,39.123360887535405,38.41874536264186,38.60778967153783,14316500.0,2.0,-0.3826821865158365,42.46410734854324,36.93912141122239,46.685847200229375,-73.258601137143,10.448696867240029,39.65174357096354,39.396506754557294,28.6200008392334,53.06802707996375
0,2020-07-01,MCD,164.7164306640625,166.30418675470276,163.8779499758066,164.97510421578482,2193800.0,2.0,-0.6536912662922703,179.40685183115664,158.16991666249572,49.656156538788615,-53.96030120796835,2.061567102125833,167.89209950764973,164.06708323160808,28.6200008392334,53.06802707996375
