Ticker,Strategy_Score,Lookback_Return_Ann,Lookback_ATRP
CCI,0.10521816,0.55749181,0.02102554
CCJ,-0.01471545,-0.14650129,0.03950639
CCK,0.26302123,1.35470445,0.02043870
CCL,0.09915446,0.87461711,0.03500299
CDNS,0.10373433,0.69826052,0.02671126
CDW,0.43882914,2.66430181,0.02409281
CEG,0.63997369,7.62367796,0.04727177
CELH,0.01110519,0.16189945,0.05785204
CF,0.56916472,3.18499272,0.02220598
CFG,0.34672992,2.23539225,0.02558361
CFLT,-0.12457274,-1.33519459,0.04253251
CG,0.29530638,2.21567600,0.02977371
CHD,0.14859915,0.66716462,0.01781624
CHKP,0.08017428,0.45747022,0.02264265
CHRW,0.03607917,0.20997612,0.02309473
CHTR,0.02716495,0.19552682,0.02856255
CHWY,0.23158365,2.33003305,0.03992580
CI,0.13161292,0.87045235,0.02624496
CIEN,0.05682738,0.48692358,0.03400185
CINF,-0.05349204,-0.28361477,0.02103968
CL,-0.12849808,-0.50759148,0.01567535
CLF,0.15222923,1.95538429,0.05097222
CLS,0.46320831,5.06280545,0.04337249
CLX,-0.05223340,-0.21720645,0.01650152
CMA,0.27382259,1.89076489,0.02740108
CMCSA,-0.06716868,-0.35118654,0.02074773
CME,0.00540415,0.02064298,0.01515810
CMG,-0.18019765,-0.99425956,0.02189526
CMI,0.29813297,1.33709802,0.01779724
CMS,0.15145468,0.59971269,0.01571303
CNC,0.10719713,0.74246910,0.02748493
CNH,0.37468760,2.58523194,0.02737976
CNI,-0.01614124,-0.06729080,0.01654315
CNM,0.24405717,1.88163992,0.03059457
CNP,0.16835185,0.86271836,0.02033530
CNQ,-0.02609088,-0.15911141,0.02419982
COF,0.29725861,1.72268155,0.02299694
COHR,-0.03184649,-0.42036792,0.05238024
COIN,0.20970753,3.79076042,0.07173181
COO,0.13246415,0.74180121,0.02222228
COP,0.27981739,1.42636217,0.02022808
COR,0.44427597,1.89250033,0.01690373
COST,0.19648338,0.92299648,0.01864119
COWZ,0.24956494,0.81139275,0.01290170
CP,0.08733208,0.41131821,0.01868975
CPAY,0.43278618,2.22369942,0.02038929
CPB,-0.34732312,-1.85085937,0.02114653
CPNG,-0.02911432,-0.21291788,0.02902051
CPRT,0.05664650,0.26926866,0.01886306
CPT,-0.07827868,-0.42119970,0.02135227
CRBG,0.21864814,1.34033671,0.02432583
CRH,0.30055189,1.35971057,0.01795256
CRL,-0.32054235,-2.68211652,0.03320410
CRM,-0.06608649,-0.44799792,0.02690065
CRWD,0.08074252,0.75846547,0.03727632
CSCO,0.17768593,0.65302261,0.01458393
CSGP,0.14898130,1.10389972,0.02940339
CSL,0.35839876,2.23338689,0.02472845
CSX,0.10185072,0.45303324,0.01765084
CTAS,0.37074136,2.17711409,0.02330288
CTRA,0.52439820,3.06300359,0.02317852
CTSH,0.09246879,0.46553859,0.01997837
CTVA,0.45719208,2.58350080,0.02242381
CVE,-0.05784864,-0.39185922,0.02688044
CVNA,0.26129934,4.08708598,0.06206902
CVS,0.52150372,4.48930094,0.03416023
CVX,0.54487436,2.43209221,0.01771263
CYBR,0.16697804,1.23708055,0.02939937
CYTK,-0.17417960,-1.64680629,0.03751843
D,0.09479956,0.42703517,0.01787544
DAL,0.34840535,2.84910408,0.03245062
DASH,0.09204283,0.59815156,0.02578818
DAY,-0.08890503,-0.60692104,0.02708977
DBX,0.15532265,0.87685397,0.02240227
DD,0.15026530,0.69466870,0.01834503
DDOG,-0.11144461,-0.89883170,0.03200507
DE,0.41027787,2.21439499,0.02141788
DECK,0.09868726,0.67257639,0.02704456
DELL,-0.15396517,-1.45151099,0.03741083
DEO,-0.27437805,-1.42172715,0.02056205
DG,-0.27415345,-2.28018557,0.03300471
DGRO,0.22963397,0.60583278,0.01046926
DGX,0.04043981,0.17510891,0.01718298
DHI,0.26843978,1.80583126,0.02669499
DHR,0.19089493,0.94392973,0.01962207
DIA,0.22498150,0.66038633,0.01164798
DINO,0.11911276,0.88344510,0.02943207
DIS,-0.18905593,-0.87120908,0.01828654
DKNG,0.21231695,2.05745661,0.03845435
DKS,0.01933637,0.15679610,0.03217805
DLR,0.04597172,0.25113884,0.02167817
DLTR,-0.14258275,-1.40531758,0.03911172
DOC,0.14494783,0.79952342,0.02188865
DOCU,-0.01957116,-0.18537601,0.03758689
DOV,0.29349372,1.26814673,0.01714629
DOW,0.16794008,0.95294741,0.02251718
DPZ,-0.06263188,-0.39401305,0.02496402
DRI,-0.07229966,-0.44704318,0.02453650
DT,-0.22657412,-1.42215002,0.02490775
DTE,0.13183762,0.54923333,0.01653168
DUK,0.09113049,0.35338871,0.01538822
DUOL,0.18486565,2.01407388,0.04323333
DVA,0.44423688,2.65156245,0.02368573
DVN,0.47798895,3.26402586,0.02709787
DXCM,0.23030099,1.89892116,0.03271980
DXJ,-0.19393020,-0.58735675,0.01201866
