Ticker,RSI,Change %,"Avg Volume, M",Debt/Eq,Price,ROE %,ATR/Price %,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ZTO,38.47,-7.93,2.87,0.28,17.52,14.46,3.7671232876712333,2.3,-2.146543397745261,-5.572547743671099,4.631036030214338,0.5624042756123546,3.5716486779773575,0.1,0.09345916073977742,0.20448001199955307
VIPS,50.42,-7.2,4.2,0.08,14.36,20.12,4.387186629526463,1.18,-0.8870535805801443,-5.037420001840638,1.6070642243735078,1.155768755611672,2.279401723160808,0.1,0.08025010344887605,0.13049774312284104
MFC,61.52,-0.5,2.51,0.28,31.91,10.17,2.319022250078345,4.33,0.2828490947782487,-0.12597360421859982,10.111984928300842,-0.8233440200164354,2.0498249659659353,0.1,0.1518192336693321,0.11735427289423764
TCOM,55.09,-5.15,4.67,0.29,63.65,12.49,3.409269442262372,1.46,-0.3948512838302617,-3.534664014508522,2.3630571758337156,0.21995900177715194,1.8259458894076022,0.1,0.10326909821342586,0.10453699986753513
UNH,30.75,1.62,12.25,0.86,321.0,24.33,6.7819314641744555,3.23,-2.9602054386251524,1.4280960021931497,7.142012618992885,3.447399993301769,1.6199008272196012,0.1,0.051913261395937924,0.09274073976826055
RPRX,52.18,-3.44,4.91,1.14,33.07,16.57,2.721499848805564,1.25,-0.7015554987215165,-2.2811456055631956,1.79606246223856,-0.43819641499012774,1.446977520446374,0.1,0.12936696690376268,0.0828407291479506
FI,35.04,-1.83,4.33,1.1,166.04,11.88,4.7217537942664425,0.91,-2.5080538640947467,-1.1009323667316313,0.8780710211797367,1.475930033226974,1.2911663817024823,0.1,0.07456385830547553,0.07392040512043241
DOCS,39.3,-1.59,2.71,0.01,52.91,22.5,5.688905688905689,1.24,-2.059064188686931,-0.924999958458603,1.769062713972124,2.401438029435783,1.1580911913517835,0.1,0.06188750528166142,0.06630173403233323
CPRT,53.87,-2.92,5.16,0.01,61.58,19.28,2.0785969470607344,0.96,-0.5234351814822659,-1.8999587209716347,1.0130697625119163,-1.0534170226823962,1.156143520629488,0.1,0.16937972576495725,0.06619022817927389
BEKE,38.69,-2.19,10.22,0.32,18.63,6.53,4.186795491143318,0.48,-2.123356137512933,-1.3648309791411735,-0.2829181542770108,0.9640061152539592,1.067881248448139,0.1,0.08409108627679392,0.061137135867582515
