Ticker,Debt/Eq,"Avg Volume, M",ATR/Price %,Rel Volume,RSI,ROE %,Change %,Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
DOCU,0.07,2.95,4.945482866043614,1.67,38.68,70.2,-1.96,77.04,-1.9591059540929767,-1.4906269762644007,3.4001985055293176,2.1903127594108356,1.6684149507898622,0.1,0.06323713820543361,0.11664521202900177
BF-B,0.68,3.43,4.285199855959668,1.51,24.48,23.14,0.4,27.77,-3.4152625561270678,-0.10854993695541233,2.8253922129407796,1.5282531153862107,1.645587503628403,0.1,0.07298100298814801,0.11504925868839626
CPRT,0.01,5.84,2.4661893396976926,1.08,22.82,18.54,0.26,50.28,-3.585489313829645,-0.19053755793136928,1.2806003016090834,-0.295651841247981,1.6072946495629699,0.1,0.12681028924200102,0.1123720601416298
SE,0.46,5.09,3.576209600305986,1.05,50.45,11.13,-4.68,156.87,-0.7521367142379584,-3.0835293266544213,1.1728241217487325,0.8173551684356631,1.4953124218185128,0.1,0.08744962360870727,0.10454295821914447
GE,1.08,6.14,2.2933884297520657,1.52,59.88,28.09,-3.74,242.0,0.21487432500017417,-2.5330410143872824,2.8613176062275634,-0.4689177093356486,1.4305136334645654,0.1,0.13636511784722555,0.10001262935629758
PGR,0.24,3.29,2.4671362386530564,0.77,35.67,34.34,-2.15,265.49,-2.267770135228372,-1.6018958904460565,0.16691310971879048,-0.2947023944566184,1.4172359703754698,0.1,0.12676161883275028,0.09908433761116307
CART,0.01,4.22,3.282028066998642,0.75,44.55,12.96,-3.79,44.18,-1.357159527759166,-2.562322307592981,0.09506232314522314,0.5223820762228005,1.3385928993800158,0.1,0.09528808928760855,0.09358610248294529
LULU,0.4,2.74,5.059961315280464,1.32,31.9,42.49,-0.21,258.5,-2.6543694584444655,-0.465781714064939,2.1428097404918907,2.3050992376220565,1.290104934714464,0.1,0.061806437639784495,0.09019612511754801
LTH,1.47,2.28,4.0676745860331165,1.31,40.07,8.24,-0.93,27.78,-1.8165666810769634,-0.8874323362270033,2.1068843472051073,1.310142546774694,1.2367622708199404,0.1,0.07688377643738531,0.08646673733112067
CME,0.14,2.67,2.0518602029312287,0.79,36.54,13.4,-0.84,266.1,-2.178554906793889,-0.8347260084567453,0.23876389629235784,-0.7110958199772844,1.173510681593922,0.1,0.15241690591095589,0.082044579022753
