Ticker,RSI,Debt/Eq,Price,Change %,Rel Volume,ATR/Price %,ROE %,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BBY,41.41,1.44,66.32,-7.27,2.68,4.146562123039808,31.63,4.33,-1.3429623545959635,-3.912980314876075,3.6134940237187485,1.0862938950683914,2.4536493495521237,0.1,0.08588011620521127,0.15542040923414027
CRM,41.21,0.19,266.92,-3.3,4.11,3.049602877266597,10.31,6.76,-1.3635754868854124,-1.8564556435862527,6.415854134220387,0.04038471503130172,2.4061432510060303,0.1,0.11677167530021822,0.1524112517608041
ANET,45.6,0.0,86.37,-6.92,1.62,4.260738682412875,33.68,11.05,-0.9111172331320019,-3.7316746133769727,1.5362200956545966,1.1951569289992154,1.812705472509139,0.1,0.08357875559200481,0.11482138896895018
CPRT,22.79,0.01,51.42,-1.21,1.35,3.09218203033839,18.54,5.58,-3.262044970743686,-0.7738015974916104,1.0071031517137277,0.08098232815830732,1.6058686964092683,0.1,0.11516373663804523,0.10171981991549923
CDNS,39.45,0.52,284.35,-1.48,2.77,3.738350624230702,25.92,2.26,-1.5449710510325652,-0.9136659957909182,3.7898663383657043,0.6970796597663326,1.5487882680847267,0.1,0.09525784838656433,0.09810419996920185
UBER,48.56,0.51,84.3,-4.49,1.84,3.629893238434164,74.39,20.66,-0.6060428752481534,-2.4728950286832023,1.9673524203471562,0.5936696416781351,1.411731786277592,0.1,0.09810405254023424,0.08942269277073252
EA,39.39,0.35,142.84,-2.75,1.02,2.3312797535704286,16.13,3.45,-1.5511549907194002,-1.5715466840876626,0.36040466467488785,-0.6445092335831454,1.2294774424757642,0.1,0.15275182501516466,0.07787823769056783
FI,32.69,1.1,159.62,-0.7,1.65,3.9030196717203363,11.88,4.6,-2.2416949224159493,-0.5096132895929177,1.5950108672035817,0.8540853726959624,1.1965515103742235,0.1,0.09123890395915547,0.07579262515486827
ARM,54.25,0.05,128.1,-5.49,1.35,4.918032786885246,13.05,5.47,-0.019599261613323284,-2.990911318680639,1.0071031517137277,1.82186201444415,1.0729131320012173,0.1,0.07240847151901987,0.06796105485845014
PSTG,56.75,0.22,53.64,-2.72,2.58,4.008202833706189,9.76,2.97,0.23806489200479197,-1.5560061953877395,3.41752478522213,0.954373542133641,1.0493470590150935,0.1,0.08884461484438184,0.06646831967678551
