Ticker,RSI,Debt/Eq,ROE %,ATR/Price %,Change %,Rel Volume,"Avg Volume, M",Price,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
FI,30.18,0.95,11.0,5.76031656302996,-18.52,5.17,3.3,176.9,-3.1681819896020014,-7.141312626104828,9.378950069996042,0.8518416806478245,5.398928961431816,0.1,0.07791954346793037,0.24749023768275125
LKQ,34.8,0.95,11.37,4.13311862587225,-11.56,2.22,2.66,37.26,-2.478271557274671,-4.75731897924264,2.8887395389688484,-0.2662522907133744,3.1368298246461657,0.1,0.10859626288304977,0.14379421630065967
PG,40.05,0.68,31.05,2.9712279821977057,-3.74,2.45,8.19,159.53,-1.6942824296299774,-2.0787514047509275,3.3947559532523246,-1.064620389890469,2.105975071672828,0.1,0.15106253694139662,0.09653919782341995
JD,32.24,0.38,17.55,5.605174006775485,-3.25,1.65,15.25,32.47,-2.8605595890404643,-1.9109127715666643,1.6346988600924068,0.7452388188271597,1.9224312163482606,0.1,0.08007623604182437,0.08812543414844122
UNH,28.53,0.88,15.88,5.609899823217443,-0.87,1.31,5.8,424.25,-3.414578572576048,-1.0956965532430998,0.8866745954994425,0.7484860616811806,1.681082606968472,0.1,0.08000877929485531,0.07706186485043652
GPN,32.38,0.77,6.94,6.466833194560088,0.42,2.16,2.94,72.06,-2.839653212303272,-0.6538356617988148,2.7567352569818544,1.3373093476976596,1.6403372225623354,0.1,0.06940665134205383,0.0751940712670819
CMCSA,40.62,1.23,19.24,3.6155468514612834,-3.71,1.55,28.54,33.19,-1.609163610057125,-2.0684755700661768,1.4146917234474177,-0.6218905738631471,1.6323011151189537,0.1,0.12414200541769929,0.07482569113920572
TMO,35.86,0.69,13.75,4.345380396568696,-1.15,1.66,2.2,426.66,-2.319980419121647,-1.1916043436341073,1.656699573756906,-0.12040119248699603,1.5724347009645947,0.1,0.1032915868945506,0.07208137774406392
PBR,34.77,1.02,10.52,4.553415061295972,-0.44,1.74,21.43,11.42,-2.4827514951469256,-0.9484095894283381,1.8327052830728978,0.022545341031852593,1.5651929021127364,0.1,0.09857244085591993,0.07174940921254581
PBR-A,36.93,1.02,10.52,4.197761194029851,0.19,1.19,5.81,10.72,-2.1601959683445378,-0.732617061048571,0.6226660315254546,-0.22183454404601613,1.1592012209972806,0.1,0.10692395686072,0.053138499831393946
