Ticker,RSI,ROE %,"Avg Volume, M",Debt/Eq,Rel Volume,Change %,Price,ATR/Price %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
ZBH,26.58,7.24,2.06,0.51,3.42,-11.62,90.48,3.857206012378426,-2.9691902420690206,-4.587372880827522,1.8788929624403317,-0.005664168701258236,3.021142102371982,0.1,0.10204806063287018,0.17435836126778112
TSN,32.3,5.74,2.53,0.53,4.73,-7.75,56.08,2.9243937232524964,-2.354401879304324,-2.999763446613437,2.8621662853939056,-0.7496640001426248,2.52135752116426,0.1,0.13459897341965374,0.14551442820754357
TGTX,43.84,12.21,2.73,1.14,4.46,-13.26,37.68,7.510615711252654,-1.1140771054748488,-5.2601582741378845,2.659506898220268,2.908251344456964,2.472058628062814,0.1,0.052408538548301686,0.1426692544546324
HOLX,26.39,11.77,2.9,0.55,1.38,-2.64,52.73,3.3756874644414943,-2.989611533839176,-0.9034626174573707,0.3476887037950724,-0.3897175550869141,1.471085449221497,0.1,0.11660451305725049,0.08490035871194397
BRK-B,44.79,14.7,5.11,0.22,3.2,-5.12,512.15,2.868300302645709,-1.0119706466240692,-1.9208454073413324,1.7137630914099609,-0.794403435892903,1.448678580759173,0.1,0.13723123504940926,0.0836071971413028
BDX,20.81,5.97,2.52,0.76,1.71,-1.05,167.0,4.4670658682634725,-3.5893526289837583,-0.25118897394305634,0.5953835103406291,0.48075269701831036,1.4151909933906799,0.1,0.08811609334466362,0.08167453702187383
ON,48.11,18.97,10.31,0.41,2.35,-8.35,38.41,6.612861234053632,-0.6551354430613434,-3.2459044441660083,1.075761316974436,2.192213200986886,1.3612949038257718,0.1,0.05952346179558025,0.07856404650641581
PBR-A,36.83,10.52,5.93,1.02,1.16,-4.13,10.45,3.6363636363636367,-1.8675152913106048,-1.5147127613795894,0.1825588327647013,-0.18180538429788587,1.2384721234242966,0.1,0.10824560808178287,0.07147560842853126
PAA,32.43,7.56,3.85,0.82,1.23,-2.77,16.17,3.896103896103896,-2.340429416514217,-0.9567931669270944,0.23510015536527398,0.025360314222624775,1.1985119038552514,0.1,0.10102923420966402,0.06916939502847665
PBR,35.69,10.52,22.26,1.02,1.21,-3.53,11.2,3.9285714285714293,-1.990043041931541,-1.2685717638270182,0.2200883489079675,0.05125602653768923,1.1794072491433203,0.1,0.10019428186082381,0.06806681323149867
