Ticker,Price,RSI,Rel Volume,ATR/Price %,"Avg Volume, M",Change %,Debt/Eq,ROE %,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
UNH,274.35,12.04,14.19,8.073628576635683,8.49,-10.93,0.86,24.33,-4.40524036950395,-4.82879938666043,13.73567323452563,4.227035107835981,5.55634505077906,0.1,0.05361487322243266,0.28186962469975235
FI,159.13,27.66,6.04,5.303839627977125,3.86,-16.19,1.1,11.88,-2.952726196255502,-7.127937487401093,5.261773430930945,1.7094355304587796,4.409643422420119,0.1,0.0816138124346769,0.22369822701400016
AKAM,76.51,44.08,5.72,3.6465821461246897,2.84,-1.29,1.01,9.82,-1.4258194917267233,-0.6151698636300134,4.929055892630295,0.20307139468677463,1.6798503134322391,0.1,0.11870473644515298,0.0852176697220265
BABA,123.9,50.29,1.24,4.0758676351896685,27.92,-7.57,0.23,11.97,-0.8483474676631597,-3.3601484325751394,0.2710103564211933,0.5932704264099627,1.467848593726647,0.1,0.10620231355015244,0.07446296593329424
YUMC,44.55,46.1,1.46,3.479236812570146,3.19,-5.03,0.41,15.73,-1.2379783502438892,-2.249918247046378,0.49975366400289023,0.05096285903931643,1.31561825594824,0.1,0.12441423102256982,0.06674042390514935
BEKE,19.16,42.25,1.03,4.4363256784968685,10.32,-5.29,0.32,5.66,-1.5959924070304787,-2.3635638565886925,0.05266447191139168,0.9209087534860845,1.3042867113003798,0.1,0.09757321800774485,0.06616558231270488
ZTO,18.16,41.48,0.75,3.2488986784140965,2.74,-3.2,0.28,14.46,-1.667595218387797,-1.4500279952677826,-0.23846337410167723,-0.15840298072474784,1.059315748031592,0.1,0.13323486369622004,0.05373837110680101
JD,34.35,45.63,1.22,4.2212518195050945,15.95,-3.86,0.37,19.81,-1.2816839623710832,-1.7385130041059644,0.25021551027740263,0.725417376150344,1.034570302707413,0.1,0.10254459840116371,0.05248305140962407
COIN,244.44,65.09,2.6,6.0710194730813285,9.86,-7.2,0.44,15.83,0.5279143610229504,-3.1984219882264617,1.6850598941989565,2.406763626428718,1.0310132857181484,0.1,0.07130047506858538,0.05230260634463048
TMO,404.93,38.36,1.71,3.9068480972019857,2.41,-0.28,0.69,13.73,-1.9577260903810845,-0.17370038040794697,0.7596892408002732,0.43964012269589575,0.853973100666626,0.1,0.11079687815130125,0.04332147755201698
