Date,Period,Adj Close,Daily_Return,Adj High,Adj Low,High_Minus_Low,Abs_High_vs_PrevClose,Abs_Low_vs_PrevClose,True_Range,ATR_14,ATRP,Volume,Adj Open
2023-05-01,Calculation,32.14940000,,32.20700000,32.11910000,0.08790000,,,,,,6756,32.16800000
2023-05-02,Calculation,31.65020000,-0.01552751,31.71860000,31.47440000,0.24420000,0.43080000,0.67500000,0.67500000,0.67500000,0.02132688,1637,31.71860000
2023-05-03,Calculation,31.33760000,-0.00987671,31.33760000,31.33760000,0.00000000,0.31260000,0.31260000,0.31260000,0.64911429,0.02071359,102,31.33760000
2023-05-04,Calculation,31.15500000,-0.00582687,31.22630000,31.10320000,0.12310000,0.11130000,0.23440000,0.23440000,0.61949184,0.01988419,4401,31.19110000
2023-05-05,Calculation,31.82700000,0.02156957,31.82700000,31.66980000,0.15720000,0.67200000,0.51480000,0.67200000,0.62324242,0.01958219,5323,31.70880000
2023-05-08,Calculation,31.87390000,0.00147359,31.87490000,31.87390000,0.00100000,0.04790000,0.04690000,0.04790000,0.58214653,0.01826405,818,31.87490000
2023-05-09,Calculation,31.73820000,-0.00425740,31.81630000,31.73820000,0.07810000,0.05760000,0.13570000,0.13570000,0.55025749,0.01733739,2149,31.76750000
2023-05-10,Calculation,31.86120000,0.00387546,31.86510000,31.70100000,0.16410000,0.12690000,0.03720000,0.16410000,0.52267482,0.01640474,7882,31.86510000
2023-05-11,Calculation,31.84460000,-0.00052101,31.84460000,31.71860000,0.12600000,0.01660000,0.14260000,0.14260000,0.49552662,0.01556077,5527,31.77720000
2023-05-12,Calculation,31.74890000,-0.00300522,31.80650000,31.60140000,0.20510000,0.03810000,0.24320000,0.24320000,0.47750329,0.01503999,1945,31.80650000
2023-05-15,Calculation,31.85540000,0.00335445,31.85540000,31.82610000,0.02930000,0.10650000,0.07720000,0.10650000,0.45100305,0.01415782,716,31.82610000
2023-05-16,Calculation,31.73820000,-0.00367913,31.86510000,31.73820000,0.12690000,0.00970000,0.11720000,0.12690000,0.42785283,0.01348069,2252,31.86510000
2023-05-17,Calculation,32.28130000,0.01711187,32.28130000,31.94330000,0.33800000,0.54310000,0.20510000,0.54310000,0.43608477,0.01350890,1023,31.94330000
2023-05-18,Calculation,32.66420000,0.01186136,32.66420000,32.36330000,0.30090000,0.38290000,0.08200000,0.38290000,0.43228586,0.01323424,1228,32.39260000
2023-05-19,Calculation,32.63490000,-0.00089701,32.73450000,32.56850000,0.16600000,0.07030000,0.09570000,0.16600000,0.41326544,0.01266330,2047,32.73450000
2023-05-22,Calculation,32.61830000,-0.00050866,32.61830000,32.61730000,0.00100000,0.01660000,0.01760000,0.01760000,0.38500363,0.01180330,204,32.61730000
2023-05-23,Calculation,32.33990000,-0.00853509,32.52940000,32.32430000,0.20510000,0.08890000,0.29400000,0.29400000,0.37850337,0.01170391,11567,32.52940000
2023-05-24,Calculation,32.11910000,-0.00682748,32.21680000,32.05070000,0.16610000,0.12310000,0.28920000,0.28920000,0.37212455,0.01158577,13410,32.15820000
2023-05-25,Calculation,32.64660000,0.01642325,32.73450000,32.43170000,0.30280000,0.61540000,0.31260000,0.61540000,0.38950137,0.01193084,3582,32.45130000
2023-05-26,Calculation,33.26600000,0.01897288,33.26600000,32.83220000,0.43380000,0.61940000,0.18560000,0.61940000,0.40592270,0.01220233,818,32.84200000
2023-05-30,Calculation,33.20440000,-0.00185174,33.35970000,33.20340000,0.15630000,0.09370000,0.06260000,0.15630000,0.38809251,0.01168798,511,33.35970000
