Ticker	Cluster_ID	Raw_Score	Risk_Adj_Score	Weight	Volatility	Company	Info	MktCap AUM, M	Beta	RSI	Perf YTD %	Perf 3D %	Perf Week %	Perf Month %	Perf Quart %	Perf Half %	Perf Year %	SMA20 %	SMA50 %	SMA200 %	50D High %	50D Low %	52W High %	52W Low %	ATR	ATR/Price %	Volatility W %	Volatility M %	Volume, M	Avg Volume, M	Rel Volume	Price	Change %	Sharpe 3d	Sortino 3d	Omega 3d	Sharpe 5d	Sortino 5d	Omega 5d	Sharpe 10d	Sortino 10d	Omega 10d	Sharpe 15d	Sortino 15d	Omega 15d	Sharpe 30d	Sortino 30d	Omega 30d	Sharpe 60d	Sortino 60d	Omega 60d	Sharpe 120d	Sortino 120d	Omega 120d	Sharpe 250d	Sortino 250d	Omega 250d
PHYS	44	1.7147349534458778	260.96498493428976	0.18265680187937894	0.0065707462359851	Sprott Physical Gold Trust	Financial, Asset Management	10540.0	0.15	74.34	19.86	2.244811520542145	3.25	7.82	19.92	17.41	39.54	3.85	6.99	17.76	-0.12	15.78	-0.12	39.08	0.25	1.035625517812759	0.72	0.79	6.577051	3.89	1.69	24.14	0.33	21.75494240350882	6826.028697963917	609.1109690492286	34.19671228717558	3321.2275962109143	419.43534604852033	5.241257388198328	11.007998394237083	2.2080738975622385	9.931459614452278	22.666986222118915	4.102570701468572	4.130415769595474	6.488322393614538	1.8344541770532812	5.797703073906153	9.675732683249201	2.348621268029848	2.160376710973275	2.9281142694141624	1.4080928525263652	1.790842417347328	2.489449561716202	1.331860276053049
COR	58	1.9784314303028705	238.07670577263713	0.16663664548467108	0.008310057826974318	Cencora Inc	Healthcare, Medical Distribution	53790.0	0.54	76.11	23.47	1.255611928313316	3.33	8.63	22.24	23.34	14.17	4.91	8.69	15.98	-1.17	16.7	-1.17	29.17	4.72	1.701452723405789	1.41	1.94	1.322272	1.6	0.83	277.41	-0.24	6.696753691563535	33.20108085374518	3.9577873672689177	14.382424092856361	65.28230264717995	9.22479703895675	14.174542178463472	70.73514590412822	10.664414817426723	20.431785498635932	118.04709412863096	21.115849273887846	6.0359130075867595	11.23315093272695	2.655243049244612	4.460863958520912	7.586101874008586	2.0556150151448445	2.5064136169781994	4.383307572836065	1.546379278470667	0.5887650021051343	0.8638721196106061	1.1080283264492432
MCK	58	1.6088626656701777	204.59067666028966	0.14319882302415488	0.007863811231979642	Mckesson Corporation	Healthcare, Medical Distribution	84430.0	0.49	70.92	18.21	1.2048011777607615	1.52	4.52	16.83	37.98	25.49	2.47	7.49	16.33	-0.73	18.09	-0.73	45.06	12.55	1.8628746159212692	1.52	2.12	0.630026	0.82789	0.76	673.69	0.1	14.346299456541733	6826.028697963917	609.1109690492286	23.423304863120823	3321.2275962109143	419.43534604852033	5.42030749547938	8.86323130954702	2.401456828369586	11.631239441128846	25.482820487798588	6.025484043764758	5.2688869676389825	12.167650420843346	2.6724055778619844	3.394210816012745	5.865198145134266	1.736040212738018	2.61404684052743	5.915888652272868	1.6878750978186345	0.8507043179018025	1.1599758544759895	1.193988889719922
IAU	44	1.1730232977707655	159.2117311027451	0.11143681069791644	0.007367692885658281	iShares Gold Trust	Financial, Exchange Traded Fund, Commodities & Metals - Gold / Metals, Commodities & Metals	42540.0	0.17	74.37	18.89	2.0457697642163764	3.28	7.86	19.22	17.51	40.11	3.96	7.03	17.73	-0.24	15.51	-0.24	39.66	0.6	1.019367991845056	0.79	0.77	13.25605	6.59	2.01	58.86	-0.17	8.618299404645937	74.22502166857913	7.612490490707024	17.911948269636206	141.65001654543082	18.84622461844736	4.905061773188278	11.622556158781936	2.2350823929841264	8.92279269822003	25.643423149742322	4.398701625407989	3.7630250358283313	6.517779679445195	1.8328800647989858	5.370859924250483	9.673775252352112	2.3168754620426335	2.2487887640236406	3.187126460959478	1.4348905654444093	1.8096164271685882	2.613392589430147	1.339052506138834
GLDM	44	1.159569854089021	158.94337396574065	0.11124897991893634	0.0072954893696643534	SPDR Gold MiniShares Trust	Financial, Exchange Traded Fund, Commodities & Metals - Gold / Metals, Commodities & Metals	13230.0	0.17	74.53	18.85	2.031043593130777	3.28	7.89	19.26	17.56	40.27	3.94	7.02	17.77	-0.26	15.52	-0.26	39.83	0.62	1.0033986081890274	0.79	0.77	8.662613	3.01	2.88	61.79	-0.16	8.688719554578416	76.90924388850381	7.851620012062356	18.044316022147086	146.03956324389964	19.399255519992746	4.901487613778178	11.651678538707294	2.242845374042563	8.957195563223799	26.12549494797811	4.475648877114488	3.8050278987472037	6.59542159889294	1.848896066467178	5.09146775539435	8.877271152658022	2.233872423601739	2.220796479788225	3.147189075845858	1.4289734076940201	1.8089398915724049	2.610238564230387	1.3390768617024185
BRO	6	1.1309740914042954	139.86183796126946	0.09789327113524439	0.00808636557354299	Brown & Brown, Inc	Financial, Insurance Brokers	35570.0	0.75	73.42	21.65	0.9845402766476719	2.24	3.54	20.62	20.91	41.78	3.26	8.9	18.01	-0.69	20.5	-0.69	54.5	1.98	1.5953589557650472	1.42	1.71	2.289614	1.7	1.35	124.11	-0.23	7.313031302598458	41.96820747796418	4.738825083799668	10.646433044564738	59.02384632272251	8.436305656781808	6.511012462193145	15.958756987301769	3.3762472923756595	7.32192175884983	17.296639158659552	3.5294885877940483	5.782504961690319	12.196906578351847	2.5590665891758	5.374942015953818	9.659110546295636	2.395639198128319	1.8985726483857217	2.8559811171022242	1.3599385618325723	2.029241160186027	3.123288300511004	1.3979135339200726
MMC	6	1.0546361078786552	138.86886665366032	0.0971982623261065	0.0075944737969242315	Marsh & McLennan Cos., Inc	Financial, Insurance Brokers	119840.0	0.84	70.32	14.87	0.24238938416663025	3.12	1.89	14.3	8.96	18.46	3.44	5.84	9.43	-0.8	13.61	-0.8	24.38	3.39	1.389344262295082	1.42	1.45	1.936569	2.08	0.93	244.0	-0.01	10.307062066227987	252.08674682313853	23.457672341871636	8.146070567290327	38.4678762527237	5.56125041898551	10.848550216142671	38.72029589499342	6.02668239545493	10.018462510399436	34.01718891830147	5.571052883177818	3.254693291670482	5.404852048236486	1.6453945075900054	4.11117499262575	6.925692366299163	1.8562709451996957	1.089521362723903	1.5438313607653957	1.184215820637268	1.1667820715010953	1.6500253427489684	1.2059362492993801
VRSN	6	1.2896326159063245	128.19940832909666	0.08973040553359148	0.010059582212706796	Verisign Inc	Technology, Software - Infrastructure	24120.0	0.87	74.01	23.2	0.094213708094526	3.73	6.17	25.02	33.75	34.55	4.81	10.01	29.25	-0.53	24.16	-0.53	52.64	4.39	1.7217036630323947	2.0	1.81	0.884492	0.8118200000000001	1.09	254.98	0.44	24.03502313646236	6826.028697963917	609.1109690492286	6.221387909316674	14.213610026262641	2.790746541045009	8.068004049828664	17.662805449253728	4.337956476745846	8.358286806885204	18.81895386984913	4.244231342942412	4.748953959581968	9.412059876265658	2.0934503342358624	5.546631326124483	10.577548677782119	2.4556558285284855	3.2888017619744128	6.060835812550453	1.7542260093235917	1.447586528976432	2.2446934967247922	1.2829530430985217
