Ticker	Cluster_ID	Raw_Score	Risk_Adj_Score	Weight	Volatility	Company	Info	MktCap AUM, M	Beta	RSI	Perf YTD %	Perf 3D %	Perf Week %	Perf Month %	Perf Quart %	Perf Half %	Perf Year %	SMA20 %	SMA50 %	SMA200 %	50D High %	50D Low %	52W High %	52W Low %	All-Time High %	All-Time Low %	ATR	ATR/Price %	Volatility W %	Volatility M %	Volume, M	Avg Volume, M	Rel Volume	Price	Change %	Dividend %	Sharpe 3d	Sortino 3d	Omega 3d	Sharpe 5d	Sortino 5d	Omega 5d	Sharpe 10d	Sortino 10d	Omega 10d	Sharpe 15d	Sortino 15d	Omega 15d	Sharpe 30d	Sortino 30d	Omega 30d	Sharpe 60d	Sortino 60d	Omega 60d	Sharpe 120d	Sortino 120d	Omega 120d	Sharpe 250d	Sortino 250d	Omega 250d
SGOL	54	2.1347582851555194	143.09637376967314	0.24670831307614605	0.014918325523689444	abrdn Physical Gold Shares ETF	Financial, Exchange Traded Fund, Commodities & Metals - Gold / Metals, Commodities & Metals	4700.0	0.14	66.91	20.8	6.586826347305386	2.09	8.15	19.04	20.85	34.61	3.89	7.17	18.54	1.07	15.5	1.07	39.06	1.07	206.68	0.47	1.5532055518836747	2.06	1.08	6.9192	5.38	1.29	30.26	2.54		65.81326933538753	63320.77232309799	5642.062749975013	7.157622247158243	17.770776671872476	3.2389074132496503	2.6650023743748092	4.980635028656616	1.570735144926802	3.5131314377861975	6.547072912441178	1.8595879522743872	4.642872566105102	8.79981054288989	2.2658851036673338	4.026062717388545	7.16983726095404	1.988942176123399	1.9086761960445633	2.7929180071302393	1.3702254354089427	1.7343647621632603	2.5316825820279307	1.3294799151612515
GLDM	54	2.134203126778794	142.9424566916847	0.24644294910035966	0.014930505436758354	SPDR Gold MiniShares Trust	Financial, Exchange Traded Fund, Commodities & Metals - Gold / Metals, Commodities & Metals	12990.0	0.14	66.95	20.79	6.51289009497964	2.05	8.15	18.98	20.82	34.74	3.85	7.15	18.53	1.11	15.49	1.11	39.15	1.11	167.55	0.97	1.5445859872611465	2.08	1.08	6.892568	3.6	1.91	62.8	2.51		61.144374236357415	63320.77232309799	5642.062749975013	6.9497610720199825	17.367707925791954	3.1881255245167117	2.6163130074656387	4.930157188060216	1.5743726714900186	3.466792323412348	6.514944034372506	1.8585005639178394	4.681171542833684	8.96396675224298	2.298136458737595	4.021638625711145	7.19199821278235	1.985784558573885	1.8871008173957522	2.7606602813144114	1.3659481383551824	1.7278205050343458	2.520673811649008	1.328687547288773
PPC	41	2.381351308262998	108.50410687309963	0.18706878772192537	0.02194710759702482	Pilgrim's Pride Corp	Consumer Defensive, Packaged Foods	12230.0	0.51	64.6	28.12	4.164139882757234	0.92	13.78	26.59	26.1	64.7	8.92	10.77	23.37	-0.28	26.1	-0.28	72.72	-0.28	54855.65	2.08	4.036483601785368	6.11	4.4	1.099275	1.59	0.69	51.53	2.3	4.08	169.01336059378707	63320.77232309799	5642.062749975013	6.277527269088478	18.854138226509075	2.691034184360095	6.442298895014989	15.062604084131683	2.5223033671555415	9.384466497322489	23.42539378703701	3.9527780948103612	1.544203136107157	2.2774650820834355	1.2668171640208865	2.820059184237789	4.371687718821198	1.5377371557689234	1.5805342837073637	2.3647342576648196	1.2853936876584169	1.6571558694439312	2.407552661902668	1.3110422108389865
HRB	40	1.6987254554026443	95.4366876643601	0.16453962877596895	0.01779950139695614	H&R Block Inc	Consumer Cyclical, Personal Services	7640.0	0.3	62.63	8.01	4.409074277350911	0.3	13.62	5.06	-7.76	21.79	5.36	6.39	-0.28	-0.99	16.09	-16.63	24.42	-16.63	5044.34	1.8	3.1540213772560013	4.64	3.13	1.520401	1.57	0.97	57.07	0.76	2.67	17.421778301921098	63320.77232309799	5642.062749975013	5.284283406197817	14.016459625970812	2.76590792532839	5.148010698515188	9.76552785370795	2.3358308025827292	5.699032359214139	11.446827225373582	2.5762304104259592	1.3435192079254927	1.9232122725148835	1.2635784064951836	0.5168866169887187	0.7317775234449869	1.0927177842456952	-0.441501237039539	-0.5640909813075768	0.9241211707002058	0.8152762114628848	1.2508094484186745	1.1640245806934166
TJX	50	1.7674953016229689	90.04288006166936	0.15524032132559984	0.019629484312501232	TJX Companies, Inc	Consumer Cyclical, Apparel Retail	142400.0	0.93	62.67	5.51	7.000755477209775	1.63	10.52	4.78	12.36	31.28	6.18	4.82	7.61	-1.18	13.71	-1.18	38.03	-1.18	62406.28	3.94	3.090923354514788	5.77	2.91	7.543024	5.48	1.38	127.47	1.13	1.3	17.63668298669651	63320.77232309799	5642.062749975013	5.628524076377274	13.84308640103176	2.7440649521290563	5.612109474772628	11.195032594559907	2.4964571366076584	4.982028835390072	9.695812113605054	2.2993925772323798	0.6455363385712501	1.0530812865486185	1.1079055975841832	1.2624514628784604	2.074547793504262	1.2306524733281572	0.8623267742600931	1.3737090841281874	1.1576438266431452	1.580412763276021	2.577479443818168	1.3223244925275548
