actual_selection_date_used,average_return,filter_max_debt_eq,filter_min_avg_volume_m,filter_min_price,filter_min_roe_pct,inv_vol_col_name,log_file,n_select_actual,n_select_requested,num_attempted_trades,num_failed_or_skipped_trades,num_selected_tickers,num_successful_trades,portfolio_return,portfolio_return_normalized,run_timestamp,scheme,score_weight_change,score_weight_rel_volume,score_weight_rsi,score_weight_volatility,selection_date,sharpe_ratio_period,std_dev_return,total_weight_traded,win_rate
2025-12-23,-0.004174,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.004174,-0.004174,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-23,-0.456560,0.009490,1.000000,0.300000
2025-12-23,-0.004174,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.003693,-0.003693,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-23,-0.456560,0.009490,1.000000,0.300000
2025-12-23,-0.004174,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.005683,-0.005683,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-23,-0.456560,0.009490,1.000000,0.300000
2025-12-22,0.008137,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.008137,0.008137,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-22,0.453897,0.017577,1.000000,0.600000
2025-12-22,0.008137,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.008677,0.008677,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-22,0.453897,0.017577,1.000000,0.600000
2025-12-22,0.008137,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.011162,0.011162,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-22,0.453897,0.017577,1.000000,0.600000
2025-12-19,0.001201,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.001201,0.001201,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-19,0.074478,0.013999,1.000000,0.600000
2025-12-19,0.001201,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.002470,0.002470,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-19,0.074478,0.013999,1.000000,0.600000
2025-12-19,0.001201,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.001346,0.001346,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-19,0.074478,0.013999,1.000000,0.600000
2025-12-18,0.006282,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.006282,0.006282,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-18,0.323135,0.018949,1.000000,0.700000
2025-12-18,0.006282,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.007362,0.007362,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-18,0.323135,0.018949,1.000000,0.700000
2025-12-18,0.006282,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.010330,0.010330,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-18,0.323135,0.018949,1.000000,0.700000
2025-12-17,0.017888,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.017888,0.017888,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-17,0.960326,0.018462,1.000000,0.800000
2025-12-17,0.017888,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.017476,0.017476,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-17,0.960326,0.018462,1.000000,0.800000
2025-12-17,0.017888,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.019032,0.019032,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-17,0.960326,0.018462,1.000000,0.800000
2025-12-16,-0.012212,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.012212,-0.012212,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-16,-0.921762,0.013420,1.000000,0.200000
2025-12-16,-0.012212,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.013686,-0.013686,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-16,-0.921762,0.013420,1.000000,0.200000
2025-12-16,-0.012212,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.010531,-0.010531,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-16,-0.921762,0.013420,1.000000,0.200000
2025-12-15,-0.024105,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.024105,-0.024105,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-15,-0.827052,0.029338,1.000000,0.200000
2025-12-15,-0.024105,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.014204,-0.014204,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-15,-0.827052,0.029338,1.000000,0.200000
2025-12-15,-0.024105,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.026100,-0.026100,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-15,-0.827052,0.029338,1.000000,0.200000
2025-12-11,-0.016446,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.016446,-0.016446,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-11,-0.852028,0.019489,1.000000,0.200000
2025-12-11,-0.016446,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.014413,-0.014413,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-11,-0.852028,0.019489,1.000000,0.200000
2025-12-11,-0.016446,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.015549,-0.015549,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-11,-0.852028,0.019489,1.000000,0.200000
2025-12-10,0.001241,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,9,1,10,9,0.001117,0.001241,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-10,0.090657,0.011942,0.900000,0.444444
2025-12-10,0.001241,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,9,1,10,9,0.001662,0.003883,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-10,0.090657,0.011942,0.428019,0.444444
2025-12-10,0.001241,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,9,1,10,9,0.000977,0.001238,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-10,0.090657,0.011942,0.789375,0.444444
2025-12-09,0.007818,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.007818,0.007818,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-09,0.553088,0.013848,1.000000,0.700000
2025-12-09,0.007818,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.009044,0.009044,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-09,0.553088,0.013848,1.000000,0.700000
2025-12-09,0.007818,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,0.008319,0.008319,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-09,0.553088,0.013848,1.000000,0.700000
2025-12-08,-0.001524,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.001524,-0.001524,2025-12-29 19:04:11,EW,0.350000,0.200000,0.350000,0.100000,2025-12-08,-0.073337,0.022943,1.000000,0.700000
2025-12-08,-0.001524,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.000163,-0.000163,2025-12-29 19:04:11,IV,0.350000,0.200000,0.350000,0.100000,2025-12-08,-0.073337,0.022943,1.000000,0.700000
2025-12-08,-0.001524,1.500000,2.000000,10.000000,5.000000,ATR/Price %,backtest_run_20251229_190411.log,10,10,10,0,10,10,-0.002724,-0.002724,2025-12-29 19:04:11,SW,0.350000,0.200000,0.350000,0.100000,2025-12-08,-0.073337,0.022943,1.000000,0.700000
