Date,Adj Open,Adj High,Adj Low,Adj Close,Volume,ATR,ATRP,TRP,RSI,Mom_21,Consistency,IR_63,Beta_63,DD_21,Ret_1d,RollingStalePct,RollMedDollarVol,RollingSameVolCount,Ticker
2025-11-25,109.352,109.352,109.343,109.352,1878726,0.018277990776558183,0.00016714820740871848,8.23030214353678e-05,97.69261102941721,0.0028153514604063457,1.0,-0.07673287277097567,-0.0025951332929891823,0.0,8.230979578027764e-05,0.0,331111221.0435,0.0,SHV
2025-11-26,109.372,109.382,109.372,109.372,1916888,0.019115277149661252,0.0001747730420003406,0.00027429323775738886,97.88852545212885,0.002915986575457996,1.0,-0.08307269597962026,-0.002486787935636076,0.0,0.00018289560318973663,0.0,329635504.071,0.0,SHV
2025-11-28,109.412,109.412,109.402,109.402,2528390,0.02060704306754304,0.00018836075270601123,0.00036562402881123063,98.14320057885556,0.003273877756889254,1.0,-0.10703805677608841,-0.0018236209104786135,0.0,0.00027429323775729486,0.0,326997780.219,0.0,SHV
2025-12-01,109.424,109.424,109.414,109.424,3528203,0.020706539991290365,0.0001892321610550735,0.0002010527854950063,98.30468722819367,0.003392814568929259,1.0,-0.11356417449727169,-0.0016784182156648392,0.0,0.00020109321584627082,0.0,326997780.219,0.0,SHV
2025-12-02,109.434,109.444,109.434,109.444,1900212,0.020656072849055056,0.00018873645744906122,0.00018274185885015188,98.43770979947166,0.003392192456497467,1.0,-0.10651204207083055,-0.0017044249636863685,0.0,0.00018277525954091267,0.0,326997780.219,0.0,SHV
2025-12-03,109.454,109.464,109.454,109.464,4607627,0.0206092105026937,0.00018827386631854945,0.00018270847036464975,98.55943824303925,0.0032904083222582425,1.0,-0.09710632884208488,-0.0017673639810822238,0.0,0.00018274185885025496,0.0,326997780.219,0.0,SHV
2025-12-04,109.474,109.483,109.464,109.464,3692240,0.020494266895358826,0.0001872238077848318,0.00017357304684650167,98.55943824303925,0.003198460340008369,0.8,-0.10598279900466025,-0.0013520359840092228,0.0,0.0,0.0,326997780.219,0.0,SHV
2025-12-05,109.503,109.513,109.503,109.503,2304769,0.022530390688547952,0.00020575135556603885,0.0004474763248496077,98.77525282483266,0.0034639175257731303,0.8,-0.10449552219810017,-0.0013133846203047931,0.0,0.0003562815172111211,0.0,326997780.219,0.0,SHV
2025-12-08,109.513,109.523,109.513,109.513,2940790,0.02234964849650853,0.00020408215003249412,0.00018262672011538374,98.82390598131882,0.0033808546507365644,0.8,-0.09295041108900672,-0.0011507885173283842,0.0,9.132169894887632e-05,0.0,325423469.637,0.0,SHV
2025-12-09,109.533,109.533,109.523,109.523,2479172,0.02218181646104335,0.000202531125526541,0.00018261004537855995,98.87215608586921,0.0031048505275497185,0.8,-0.08539522403994343,-0.0011414302848955192,0.0,9.131336005752111e-05,0.0,325423469.637,0.0,SHV
2025-12-10,109.543,109.553,109.533,109.553,4031988,0.02274025814239748,0.00020757312115959837,0.0002738400591494632,99.00415058386491,0.0032877264318551536,0.8,-0.0819824815592517,-0.001000015865182245,0.0,0.0002739150680679536,0.0,326997780.219,0.0,SHV
2025-12-11,109.563,109.573,109.553,109.573,2289976,0.02254452541794023,0.0002057489109355428,0.00018252671734821554,99.08133955788327,0.0034708866787551695,1.0,-0.08750120024561513,-0.0009771264737487644,0.0,0.00018256003943295518,0.0,326997780.219,0.0,SHV
2025-12-12,109.603,109.603,109.593,109.603,1895884,0.023077059316658866,0.00021055134728665154,0.00027371513553462167,99.18356503233726,0.0036537123182300846,1.0,-0.05314128590781283,-0.001356707838643839,0.0,0.00027379007602235106,0.0,326997780.219,0.0,SHV
2025-12-15,109.623,109.623,109.613,109.623,2470618,0.02285726936546968,0.00020850797155222607,0.00018244346533127383,99.24396535268298,0.0037449411247643116,1.0,-0.052848922289687045,-0.001361402248705312,0.0,0.00018247675702309785,0.0,326997780.219,0.0,SHV
2025-12-16,109.633,109.633,109.623,109.633,2440226,0.021938892982221195,0.00020011212848522976,9.121341202002049e-05,99.27292873734409,0.003560836293068581,1.0,-0.04975821438676734,-0.0013331673652212971,0.0,9.122173266540301e-05,0.0,326997780.219,0.0,SHV
2025-12-17,109.642,109.642,109.633,109.642,1999338,0.02101468634063399,0.0001916663900752813,8.208533226318693e-05,99.29895898116783,0.003560542959918589,1.0,-0.017528395768586884,-0.0010126043600043057,0.0,8.209207081799619e-05,0.0,326997780.219,0.0,SHV
2025-12-18,109.652,109.662,109.652,109.662,2114366,0.02094220874487515,0.00019097051617584168,0.0001823785814594867,99.3542832259923,0.003559891281469385,1.0,-0.02301335308547643,-0.0011958808325471183,0.0,0.00018241184947376254,0.0,326997780.219,0.0,SHV
