run_timestamp,log_file,selection_date,actual_selection_date_used,scheme,n_select_requested,n_select_actual,inv_vol_col_name,filter_min_price,filter_min_avg_volume_m,filter_min_roe_pct,filter_max_debt_eq,score_weight_rsi,score_weight_change,score_weight_rel_volume,score_weight_volatility,portfolio_return,portfolio_return_normalized,num_attempted_trades,num_successful_trades,num_failed_or_skipped_trades,total_weight_traded,win_rate,average_return,std_dev_return,sharpe_ratio_period
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-24,2025-04-24,EW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.00273611,0.00273611,10,10,0,1.00000000,0.60000000,0.00273611,0.00902275,0.29110005
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-24,2025-04-24,IV,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.00182443,0.00182443,10,10,0,1.00000000,0.60000000,0.00273611,0.00902275,0.29110005
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-24,2025-04-24,SW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.00239376,0.00239376,10,10,0,1.00000000,0.60000000,0.00273611,0.00902275,0.29110005
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-25,2025-04-25,EW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.00853225,0.00853225,10,10,0,1.00000000,0.70000000,0.00853225,0.02027714,0.41537720
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-25,2025-04-25,IV,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.00752167,0.00752167,10,10,0,1.00000000,0.70000000,0.00853225,0.02027714,0.41537720
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-25,2025-04-25,SW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.00955774,0.00955774,10,10,0,1.00000000,0.70000000,0.00853225,0.02027714,0.41537720
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-28,2025-04-28,EW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.01144683,0.01144683,10,10,0,1.00000000,0.80000000,0.01144683,0.02077189,0.54579703
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-28,2025-04-28,IV,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.01044990,0.01044990,10,10,0,1.00000000,0.80000000,0.01144683,0.02077189,0.54579703
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-28,2025-04-28,SW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.01233992,0.01233992,10,10,0,1.00000000,0.80000000,0.01144683,0.02077189,0.54579703
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-29,2025-04-29,EW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,-0.00232016,-0.00232016,10,10,0,1.00000000,0.40000000,-0.00232016,0.01440314,-0.16869552
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-29,2025-04-29,IV,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,-0.00120715,-0.00120715,10,10,0,1.00000000,0.40000000,-0.00232016,0.01440314,-0.16869552
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-29,2025-04-29,SW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,-0.00637871,-0.00637871,10,10,0,1.00000000,0.40000000,-0.00232016,0.01440314,-0.16869552
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-30,2025-04-30,EW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.02415753,0.02415753,10,10,0,1.00000000,0.90000000,0.02415753,0.01407188,1.70893598
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-30,2025-04-30,IV,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.02301179,0.02301179,10,10,0,1.00000000,0.90000000,0.02415753,0.01407188,1.70893598
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-04-30,2025-04-30,SW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,0.02529601,0.02529601,10,10,0,1.00000000,0.90000000,0.02415753,0.01407188,1.70893598
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-05-01,2025-05-01,EW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,-0.00377943,-0.00377943,10,10,0,1.00000000,0.40000000,-0.00377943,0.02068457,-0.18801542
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-05-01,2025-05-01,IV,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,-0.00489872,-0.00489872,10,10,0,1.00000000,0.40000000,-0.00377943,0.02068457,-0.18801542
2025-05-11 16:00:12,backtest_run_20250511_160012.log,2025-05-01,2025-05-01,SW,10,10,ATR/Price %,10.00000000,2.00000000,5.00000000,1.50000000,0.35000000,0.35000000,0.20000000,0.10000000,-0.00159041,-0.00159041,10,10,0,1.00000000,0.40000000,-0.00377943,0.02068457,-0.18801542
