raw_factor,risk_adj_factor,mean,median,std,count
0.8,1.1,0.030033557120106885,0.030033557120106885,0.0,5
0.8,1.0,0.030033557120106885,0.030033557120106885,0.0,5
1.2,1.2,0.02604590590916489,0.02604590590916489,0.0,5
0.6,1.2,0.02604590590916489,0.02604590590916489,0.0,5
1.0,1.1,0.02604590590916489,0.02604590590916489,0.0,5
1.0,1.0,0.02604590590916489,0.02604590590916489,0.0,5
1.0,0.9,0.02604590590916489,0.02604590590916489,0.0,5
0.9,1.2,0.02604590590916489,0.02604590590916489,0.0,5
0.9,1.1,0.02604590590916489,0.02604590590916489,0.0,5
0.9,1.0,0.02604590590916489,0.02604590590916489,0.0,5
0.9,0.9,0.02604590590916489,0.02604590590916489,0.0,5
0.8,1.2,0.02604590590916489,0.02604590590916489,0.0,5
0.7,1.2,0.02604590590916489,0.02604590590916489,0.0,5
1.1,0.9,0.02604590590916489,0.02604590590916489,0.0,5
1.0,1.2,0.02604590590916489,0.02604590590916489,0.0,5
1.1,1.2,0.02604590590916489,0.02604590590916489,0.0,5
1.2,1.1,0.02604590590916489,0.02604590590916489,0.0,5
1.2,1.0,0.02604590590916489,0.02604590590916489,0.0,5
1.2,0.9,0.02604590590916489,0.02604590590916489,0.0,5
1.1,1.0,0.02604590590916489,0.02604590590916489,0.0,5
1.1,1.1,0.02604590590916489,0.02604590590916489,0.0,5
1.1,0.8,0.026003775190500372,0.026003775190500372,0.0,5
1.0,0.8,0.026003775190500372,0.026003775190500372,0.0,5
1.2,0.8,0.026003775190500372,0.026003775190500372,0.0,5
0.9,0.8,0.026003775190500372,0.026003775190500372,0.0,5
1.1,0.6,0.023347050550872286,0.023347050550872286,0.0,5
1.1,0.7,0.023347050550872286,0.023347050550872286,0.0,5
1.0,0.7,0.023347050550872286,0.023347050550872286,0.0,5
1.0,0.6,0.023347050550872286,0.023347050550872286,0.0,5
1.2,0.7,0.023347050550872286,0.023347050550872286,0.0,5
1.2,0.6,0.023347050550872286,0.023347050550872286,0.0,5
0.6,1.1,0.02033226497079042,0.02033226497079042,0.0,5
0.7,1.1,0.02033226497079042,0.02033226497079042,0.0,5
0.7,1.0,0.02033226497079042,0.02033226497079042,0.0,5
0.8,0.9,0.020235473774167897,0.020235473774167897,0.0,5
0.8,0.8,0.020235473774167897,0.020235473774167897,0.0,5
0.9,0.6,0.014739824766404046,0.014739824766404046,0.0,5
0.9,0.7,0.014739824766404046,0.014739824766404046,0.0,5
0.6,1.0,0.014696109684912185,0.014696109684912185,0.0,5
0.7,0.9,0.014198322931364032,0.014198322931364034,1.734723475976807e-18,5
0.8,0.7,0.012103283819189483,0.012103283819189483,0.0,5
0.8,0.6,0.011632006505977123,0.011632006505977123,0.0,5
1.2,0.5,0.010254451223269524,0.010254451223269524,0.0,5
1.0,0.5,0.010254451223269524,0.010254451223269524,0.0,5
1.1,0.5,0.010254451223269524,0.010254451223269524,0.0,5
0.6,0.9,0.00731905398350888,0.00731905398350888,0.0,5
0.8,0.5,0.005670404280330417,0.005670404280330417,0.0,5
0.7,0.8,0.004582210719314666,0.004582210719314666,0.0,5
0.9,0.5,0.0033485807298521486,0.0033485807298521486,0.0,5
0.7,0.7,0.0031865108779383492,0.003186510877938349,4.336808689942018e-19,5
0.5,1.1,0.0029004905036856825,0.0029004905036856825,0.0,5
0.5,1.0,0.002577852561685274,0.002577852561685274,0.0,5
0.6,0.8,0.0023588812401300944,0.0023588812401300944,0.0,5
0.7,0.6,0.0022178454808661004,0.0022178454808661004,0.0,5
0.5,0.9,0.0019454261653066292,0.0019454261653066294,2.168404344971009e-19,5
0.5,1.2,0.0015474482230438504,0.0015474482230438504,0.0,5
0.5,0.8,0.0011123524114691778,0.0011123524114691778,0.0,5
0.6,0.6,0.0009383558544745759,0.000938355854474576,2.168404344971009e-19,5
0.5,0.6,0.0007336017451291121,0.0007336017451291121,4.84869951806108e-20,5
0.5,0.7,0.0007125988464978545,0.0007125988464978545,0.0,5
0.6,0.7,0.000707778558674096,0.000707778558674096,0.0,5
0.5,0.5,-9.990251676485909e-05,-9.990251676485914e-05,6.639355251516202e-20,5
0.7,0.5,-0.0002667900607946142,-0.0002667900607946142,0.0,5
0.6,0.5,-0.000992588831476675,-0.000992588831476675,0.0,5
