

=== CLUSTER STATISTICS ===
 Cluster_ID  Size  Avg_Correlation  Avg_Raw_Score  Avg_Risk_Adj_Score  Avg_Volatility
          3    CMS     0.6623         52.7639      0.0126
          3    WEC     0.6846         46.7113      0.0147
          3    AWK     0.8860         43.2026      0.0205
          3    AEP     0.6217         40.9458      0.0152
          3     SO     0.5870         39.6925      0.0148
          3   WTRG     0.6726         39.6812      0.0169
          3     UL     0.3793         32.7063      0.0116
          3      T     0.6411         32.4920      0.0197
          3     CI     0.4467         26.5896      0.0168
          3    DGX     0.3654         25.2092      0.0145
          3     ES     0.4310         23.5259      0.0183
          3    NEE     0.3035         15.5808      0.0195
          3     VZ     0.2798         11.9096      0.0235
          3    HRL     0.1194          7.8969      0.0151
          3   TMUS     0.1272          7.4906      0.0170
          3      D     0.1032          5.7802      0.0178
          3    TAP     0.0759          3.5737      0.0212
          3    SCI     0.0338          1.6206      0.0208
          3    SJM     0.0112          0.5618      0.0199
          3     TU    -0.1219         -8.0838      0.0151
          3   VRSK    -0.1037         -8.2221      0.0126
          3    KHC    -0.2070        -11.1088      0.0186
          3    SYY    -0.1790        -12.8220      0.0140
          3    CAG    -0.3008        -14.0283      0.0214
          3    RMD    -0.2923        -14.0600      0.0208
          3    DVA    -0.3681        -14.3151      0.0257
          3    GIS    -0.4349        -20.3371      0.0214
          3    CPB    -0.5392        -22.6152      0.0238
          3    ZTS    -0.4234        -23.6005      0.0179
          3   TSCO    -0.6049        -28.6117      0.0211
          4    VOD     1.2835         75.3354      0.0170
          4    GSK     0.9631         66.2146      0.0145
          4   AMGN     0.5654         38.7014      0.0146
          4    ZBH     0.5867         30.0071      0.0196
          4     GD     0.3707         22.8137      0.0162
          4    LMT     0.2507         16.7261      0.0150
          4    NOC     0.2367         11.8713      0.0199
          4    NVS     0.1564         10.5768      0.0148
          4    LHX     0.1356          9.8338      0.0138
          4    HCA     0.1149          5.1047      0.0225
          4   BF-B     0.0522          1.6483      0.0317
          4   BIIB    -0.4283        -23.5801      0.0182
          4   HSIC    -0.5172        -26.7797      0.0193
          5   ABBV     0.8882         80.0200      0.0111
          5    CME     0.7193         58.9990      0.0122
          5   GILD     0.4607         32.3502      0.0142
          5    JNJ     0.2983         30.4247      0.0098
          5   CBOE     0.3335         19.0190      0.0175
          5     KO     0.1806         15.5486      0.0116
          5    KMB     0.1467         10.3052      0.0142
          5   BMRN     0.0891          5.8224      0.0153
          5    CHD     0.0672          5.2959      0.0127
          5    BMY     0.0450          2.4712      0.0182
          5    TSN     0.0100          0.8513      0.0117
          5   MDLZ    -0.0058         -0.3429      0.0170
          5    MKC    -0.1583        -10.3855      0.0152
          5    PEP    -0.1616        -11.2257      0.0144
          5    HSY    -0.2562        -11.2555      0.0228
          5     CL    -0.2393        -12.7318      0.0188
          5     PG    -0.2267        -18.3831      0.0123
          5    CLX    -0.3931        -28.0659      0.0140
          5    XLP    -0.2910        -30.1683      0.0096
          5   REGN    -0.6974        -30.2383      0.0231
          6     KT     1.6031        113.6737      0.0141
          6   FNDE     1.2185        107.6956      0.0113
          6    FXI     1.4834         79.0776      0.0188
          6   MCHI     1.3768         71.4482      0.0193
          6   SCCO     1.2336         53.7133      0.0230
          6   SCHE     0.5689         49.4209      0.0115
          6   SPEM     0.5279         46.1335      0.0114
          6    EEM     0.5540         45.3082      0.0122
          6    VWO     0.5268         45.1256      0.0117
          6   DFAE     0.5076         44.7528      0.0113
          6   DFEM     0.4742         43.1736      0.0110
          6   IEMG     0.5064         42.4951      0.0119
          6   BABA     1.4544         39.4557      0.0369
          6   KWEB     0.8981         34.0386      0.0264
          6    FCX     1.1289         33.4587      0.0337
          6    YMM     1.2287         33.3775      0.0368
          6   TECK     1.0309         33.0516      0.0312
